elevation_m,area_m2,volume_m3
2199.595458984375,901.9491911088772,0.0
2200.095458984375,1803.8983822177545,676.461893331658
2200.595458984375,2705.847573326632,1803.8983822177547
2201.095458984375,4509.745955544387,3607.7967644355094
2201.595458984375,4509.745955544387,5862.669742207703
2202.095458984375,4509.745955544387,8117.542719979896
2202.595458984375,7215.593528871018,11048.877591083747
2203.095458984375,9019.491911088773,15107.648951073694
2203.595458984375,14431.187057742036,20970.318693281395
2204.095458984375,17137.03463106867,28862.37411548407
2204.595458984375,20744.831395504178,38332.84062212728
2205.095458984375,25254.577351048563,49832.69280876547
2205.595458984375,28862.37411548407,63361.930675398624
2206.095458984375,31568.221688810703,78469.57962647232
2206.595458984375,36979.91683546397,95606.61425754099
2207.095458984375,37881.86602657285,114322.0599730502
2207.595458984375,43293.56117322611,134615.91677299995
2208.095458984375,46901.35793766162,157164.64655072187
2208.595458984375,51411.103893206004,181742.76200843876
2209.095458984375,57724.74823096814,209026.7250394823
2209.595458984375,61332.54499540365,238791.04834607523
2210.095458984375,64038.39256873028,270133.7827371087
2210.595458984375,70352.03690649243,303731.3901059144
2211.095458984375,75763.7320531457,340260.33234582393
2211.595458984375,84783.22396423446,380397.07135016896
2212.095458984375,91998.81749310548,424592.58171450393
2212.595458984375,95606.61425754099,471493.9396521656
