elevation_m,area_m2,volume_m3
1013.0772705078125,858.814568847987,0.0
1013.5772705078125,858.814568847987,429.4072844239935
1014.0772705078125,1717.629137695974,1073.5182110599835
1014.5772705078125,3435.258275391948,2361.740064331964
1015.0772705078125,6011.701981935908,4723.480128663929
1015.5772705078125,9446.960257327857,8588.14568847987
1016.0772705078125,16317.476808111753,15029.254954839773
1016.5772705078125,27482.066203135582,25979.140707651604
1017.0772705078125,45517.17214894331,44228.950295671326
1017.5772705078125,69563.98007668694,72999.23835207889
1018.0772705078125,101340.11912406246,115725.26315226624
1018.5772705078125,129680.99989604604,173480.54290729336
1019.0772705078125,174339.35747614136,249485.63225034022
1019.5772705078125,231879.93358895648,351040.4550166147
1020.0772705078125,294573.39711485954,482653.78769256873
1020.5772705078125,371866.7083111784,649263.8140490782
1021.0772705078125,471489.19829754485,860102.7907012589
1021.5772705078125,559088.2843200396,1117747.161355655
1022.0772705078125,656993.14516871,1421767.5187278423
1022.5772705078125,756615.6351550765,1775169.713808789
1023.0772705078125,839061.8337644832,2174089.081038679
