elevation_m,area_m2,volume_m3
1125.45947265625,851.7821942163334,0.0
1125.95947265625,851.7821942163334,425.8910971081667
1126.45947265625,851.7821942163334,851.7821942163334
1126.95947265625,1703.5643884326669,1490.6188398785835
1127.45947265625,4258.910971081667,2981.237679757167
1127.95947265625,4258.910971081667,5110.693165298
1128.45947265625,5110.693165298,7453.094199392917
1128.95947265625,5962.475359514334,10221.386330596
1129.45947265625,8517.821942163335,13841.460656015417
1129.95947265625,12776.732913245001,19165.0993698675
1130.45947265625,17035.64388432667,26618.193569260417
1130.95947265625,20442.772661192,35987.797705640085
1131.45947265625,30664.158991788005,48764.53061888509
1131.95947265625,50255.14945876367,68994.357731523
1132.45947265625,69846.13992573934,99019.68007764875
1132.95947265625,89437.13039271501,138840.49765726234
1133.45947265625,110731.68524812335,188882.70156747193
1133.95947265625,139692.27985147867,251488.69284237243
1134.45947265625,174615.34981434836,330065.6002588292
1134.95947265625,195909.90466975668,422696.9138798554
1135.45947265625,216352.6773309487,525762.5593800318
