dam_id,dam_name,c,b,source,capacity_mcm,r_squared
id_010033,Al-Artawiyah,0.013459739406902874,1.4176076919129263,srtm_direct,0.607143,0.9993762382591508
id_010034,Al-Khaniqiyah,0.009874281075003077,1.473144371454117,srtm_direct,0.6782,0.9923005875166787
id_010035,Khanqat 'Arwah,0.25543882600389584,1.153274196297823,srtm_direct,0.680143,0.9982079076855894
id_010036,Al-Hadar,6.777853135141121e-06,1.9974565730483405,srtm_direct,1.9,0.9990362863228315
id_010037,Al-Jufir,0.03932174108688215,1.289404291218649,srtm_direct,0.575625,0.9996381404792597
id_010039,Al-Rayn Bin 'Asaylan,6.8523391825546826e-06,2.0,srtm_direct,0.826156,0.9926961740787511
id_010041,Salabawakh,0.0021593470998528294,1.569792985220562,srtm_direct,0.9312,0.9990623140411128
id_010042,Al-'Afaj,0.12227075585009284,1.2158897886860134,srtm_direct,0.963524,0.9992791909446298
id_010044,Al-Ghat,0.22271898507097496,1.207636561637076,srtm_direct,1.0,0.9922700881490154
id_010057,Al-Qawi'ah,0.1603342241688578,1.2074585431128118,srtm_direct,1.5,0.9979499714452212
id_010061,Jalajil,0.18266561561219397,1.2105228354343727,srtm_direct,1.75,0.9995068870807425
id_010062,Al-Khanqah,0.14976075884774287,1.2496169788377252,srtm_direct,1.9325,0.9981715098626422
id_010063,Laban,0.03287145154367705,1.3480119396961112,srtm_direct,2.0,0.9987649338444551
id_010065,Al-Ahmar,0.14140468466036463,1.1961687412664048,srtm_direct,2.39445,0.9987726798957253
id_010066,Harimilah,0.14623164575464975,1.2555254224194912,srtm_direct,1.5,0.9981359694006899
id_010068,Al-Rawdah,0.10051796984212487,1.243207640746684,srtm_direct,3.0,0.999570227931141
id_010070,Hawtat Bani Tamim,0.018334882238310046,1.3526365878408895,srtm_direct,9.056604,0.9980502264190017
id_010071,Al-Ha'ir,0.005177868463213278,1.4950355373933695,srtm_direct,3.8,0.9993503704332597
id_010072,Al-Hariq,0.05269451661979171,1.2708697035338816,srtm_direct,6.0,0.9993741522810758
id_010073,Al-Halwah,3.044407929112805e-05,1.8408894407112064,srtm_direct,10.0,0.9983404625121696
id_010088,Sh'ib Al-Isar,0.004118335732296434,1.5247429067548481,srtm_direct,0.719462,0.9977649307761267
id_010091,Al-Majma'ah,0.0022809695625061782,1.5699395125067603,srtm_direct,1.3,0.9956321335932028
id_010092,Al-Safrat,0.053616024041556604,1.3003374000386572,srtm_direct,0.935,0.9994127935188677
id_010094,Al-Ghil,0.00010759095222036132,1.7564076872502261,srtm_direct,2.5,0.9936238193420277
id_010095,Al-Alab,0.6942613172557336,1.1338409849049023,srtm_direct,3.0,0.9989903314105352
id_010096,Al-Mushaqar,0.08331923281907987,1.260289725869588,srtm_direct,5.5792,0.9997143513219937
id_010102,Al-Kalbi,0.0028855142730704352,1.4812521343700193,srtm_direct,0.595591,0.9993967988547502
id_010103,Khaim,0.0009750984441206474,1.6366688968178222,srtm_direct,0.569546,0.9968201994648156
id_010110,Wadi Asimar,0.0022124815266054447,1.5853953823356552,srtm_direct,0.726465,0.998386365362479
id_020015,Turabah,0.021033748551172772,1.3592450386540584,srtm_direct,20.0,0.9962280681539653
id_020017,Al-Marwani,0.002224208200758674,1.5826105163864599,srtm_direct,183.6,0.9987889332331249
id_020018,Rabigh,0.7153728847324984,1.1868243793344915,srtm_direct,220.35,0.9980405939524419
id_020019,Hali,0.008691722028256195,1.4536509181625397,srtm_direct,254.0,0.9997453581391771
id_020020,Al-Naqabiyah,0.004644789851926447,1.5219737791337486,srtm_direct,10.0,0.9958951269286083
id_020023,Qununa,0.002531042886096309,1.5473166098615425,srtm_direct,79.2,0.9996707370212209
id_020043,Dharah,0.004022868305112927,1.6586377413897426,srtm_direct,0.50991,0.9936215597498045
id_020045,Al-Sab'an,0.005892325970557694,1.6437593604834813,srtm_direct,0.62,0.9921328268942744
id_020047,Shawan,0.0004915249737771012,1.8447801738084886,srtm_direct,1.0,0.995804183226802
id_020048,Hajar,0.009761662394668342,1.469229406874986,srtm_direct,0.76255,0.9928979552731252
id_020050,Malkan,0.012701894515203704,1.4786918103729993,srtm_direct,0.8,0.9980492047509496
id_020051,Nu'man,0.0006432798705300371,1.8076246882584655,srtm_direct,1.0,0.9942987419259244
id_020052,Al-Qu'ur,0.0008211536200686977,1.7172694973140283,srtm_direct,1.060425,0.993573600091693
id_020056,Kara Al-Qawamah,0.0004413850032264096,1.7045604269625936,srtm_direct,1.51217,0.9993501896779625
id_020060,Thariban,3.663365216102557e-07,2.0,srtm_direct,0.701658,0.9895127450252674
id_020061,Wabah,0.07321780402422456,1.3419241255767185,srtm_direct,0.703953,0.9978666304564118
id_020064,Al-Janah,0.003414702497924528,1.6132895590022283,srtm_direct,0.905161,0.9943200840012302
id_020065,Al-Mahanad,0.038911014899975234,1.3053111233660761,srtm_direct,2.268859,0.9997279657129742
id_020070,Al-Laqitah,0.0006855418965667784,1.701561337859264,srtm_direct,0.6,0.9961722439041788
id_020071,Kalakh,0.0005356346696724904,1.6283864549370186,srtm_direct,2.3,0.9908802232925705
id_020075,Al-Ghalah,0.00843539381156533,1.46308209723986,srtm_direct,4.4,0.9996689425028168
id_020076,Al-Shaqqah,0.0834152779774323,1.3261487586205019,srtm_direct,5.66,0.9990065252301308
id_030010,Al-Shara'ih,0.009628422890611409,1.4557802423187112,srtm_direct,0.88,0.9970427658703815
id_030011,Al-Farah,0.048529164673144685,1.3174620639862975,srtm_direct,1.0,0.9992075393674403
id_030012,Al-Ghab,0.4805222498887663,1.102051711187455,srtm_direct,1.0,0.9998144175267444
id_030014,Talal,0.12367627421639289,1.2164441944816324,srtm_direct,1.204388,0.9984111094445072
id_030015,Tasha,0.00347918926503344,1.516766297046103,srtm_direct,2.0,0.994665459104624
id_030016,Al-Aqiq Al-A'lah,0.0010097411762725523,1.6691558098457357,srtm_direct,2.0,0.9971924215806715
id_030017,Bidan,0.06961290140066521,1.2431559382859936,srtm_direct,2.2,0.9988717641899209
id_030018,Malal,0.0024659529619419068,1.532395966322767,srtm_direct,3.0,0.9988243285410894
id_030019,Al-Murabah,0.004413823390956491,1.4757073583880977,srtm_direct,1.318125,0.9993992358181131
id_030020,Rim,0.00026671128276115546,1.6845699452861205,srtm_direct,2.9185,0.9964873358357176
id_030021,Wasat Al-Jazl,0.002049554857707594,1.5403773166764798,srtm_direct,10.0,0.996446952421779
id_030022,Al-Aqul,0.05627514371195405,1.353303909894587,srtm_direct,1.0,0.9970076980042932
id_030023,Am Talhah,0.004646104735228238,1.51921078503727,srtm_direct,0.707141,0.9922585038228804
id_030029,Dhalamah,0.00605529453686138,1.4812261831392932,srtm_direct,1.0,0.9983341145510337
id_030033,Ahamir,0.020828689716010502,1.3553696087085385,srtm_direct,0.848721,0.9994755564234645
id_030034,Al-Tar'ah,0.07715016579674791,1.3036468812583448,srtm_direct,2.0,0.9980407671328079
id_030035,Al-Far'ah,0.1552935777812927,1.2056053861313683,srtm_direct,20.0,0.9975431700681693
id_040013,Uqlat Al-Suqur,0.0034582187257270747,1.4058096431421945,srtm_direct,0.712,0.9957245849388028
id_040014,Al-Fawarah,0.010417128887543488,1.3616657255198474,srtm_direct,1.093,0.999221554690773
id_040016,Marid,0.1853964333999043,1.1444907442492425,srtm_direct,1.3,0.9998022627746767
id_050001,Hafar Al-Batin,0.0005730821018690554,1.5993117101561243,srtm_direct,5.503925,0.9975790595911622
id_060000,Al-Marah,0.0003328567048864386,1.7268820183487232,srtm_direct,0.744065,0.9950109161237868
id_060001,Al-Hilali,0.0011139107915164592,1.5712258385216864,srtm_direct,0.99125,0.9900048283727595
id_060004,Turif,0.015743952511451262,1.384094496037828,srtm_direct,0.725625,0.9982849435277549
id_060005,Al-Awashaqi,0.12887403552576726,1.257697306414879,srtm_direct,0.7132,0.9988681120259846
id_060006,Gharabah,0.0003894263536463004,1.6356203190022727,srtm_direct,4.1248,0.9882278590533923
id_060007,Aba Al-Qur,0.00031540181830066593,1.6459404778617626,srtm_direct,3.52,0.9973363270378162
id_060008,Badanah,0.0007886038946631463,1.5675990368847017,srtm_direct,4.67875,0.9962706351397307
id_060009,Ar'ar,0.023537510064048753,1.3055003174626683,srtm_direct,10.366,0.999262350521421
id_070002,Al-Gharabah,0.00013048878188628535,1.950040916819443,srtm_direct,1.5,0.9958628569833521
id_070004,Abha,0.00459670233530263,1.605859265004475,srtm_direct,2.13,0.9964941538763246
id_070005,Al-Fawhah,0.015588899401832926,1.467186713353466,srtm_direct,3.0,0.9992430871973608
id_070006,Tandahah,3.0362316151253825e-08,2.0,srtm_direct,4.2,0.9876335118590411
id_070008,Tarjas,0.08906760540391755,1.293358343544709,srtm_direct,9.7138,0.9993088925364316
id_070009,Marbah,0.0007949605935944398,1.7129631799393856,srtm_direct,10.0,0.9996849184532381
id_070010,Atud,6.10815038834557e-05,1.922123962681218,srtm_direct,10.0,0.9990064133808403
id_070012,Tabalah,0.0006047637991712864,1.6494488136820413,srtm_direct,68.41,0.9997922959660286
id_070014,Al-Malik Fahd,0.001743014799140367,1.5750448550682687,srtm_direct,325.0,0.9993144625927551
id_070069,Jariyah Al-Majardah,0.0055251529553551485,1.591083159708248,srtm_direct,0.6,0.9976658784959965
id_070082,Al-Madhah,0.004479356456187684,1.4785521960652073,srtm_direct,4.25,0.9945896538094223
id_070091,Ashran,0.002376660601636253,1.6541446748606894,srtm_direct,1.5,0.9987732546818605
id_070096,Al-Qabah,0.0004715481417350929,1.7893089759980612,srtm_direct,2.0,0.9972724285310567
id_070098,Dhahban,0.008035487907121896,1.4535009252370141,srtm_direct,2.29,0.9966126195189957
