dam_id,dam_name,construction_year,dam_height_m,spillway_height_m,capacity_mcm,curve_type,srtm_water_level_m,coverage_fraction,z_min,z_max,footprint_area_km2,c,b,r_squared,n_pixels,void_fraction,capped,placement_upstream_shift_m,placement_method,valley_width_m,valley_ratio,channel_slope,mean_catchment_slope,lat,lon,srtm_max_vol_mcm,vol_ratio,z_range,z_range_ratio,quality
id_010033,Al-Artawiyah,2012,10.0,8.0,0.607143,full,,1.0,633.139404296875,640.639404296875,0.26555775833067635,0.012790927601695914,1.4207893201883997,0.9991775286717975,310,0.0,True,0.0,stage_3_quality_recovery,146.3418882359863,18.292736029498286,0.0017832322346334369,0.06159466877579689,26.455253,45.299936,0.6606820035888199,1.088181867515264,7.5,0.9375,A
id_010035,Khanqat 'Arwah,2011,6.5,5.0,0.680143,full,,1.0,914.260986328125,922.260986328125,0.3863881745699247,0.37438278153878835,1.1266748285847301,0.9977525399890335,443,0.0,True,0.0,stage_1_fast_path,590.6633792632152,118.13267585264305,0.0033725920092963807,0.06495975703001022,23.968821,44.909614,0.7204438649994533,1.0592535172742399,8.0,1.6,A
id_010036,Al-Hadar,2010,10.0,8.0,1.9,full,,1.0,721.0,730.0,0.5704143290998087,6.777853135141121e-06,1.9974565730483405,0.9990362863228315,645,0.0,True,0.0,stage_1_fast_path,446.07369650006893,55.75921206250862,0.003912307704411914,0.11994937807321548,21.921389,45.934167,2.1454653680560245,1.129192298976855,9.0,1.125,A
id_010037,Al-Jufir,2011,5.5,4.0,0.575625,full,,1.0,796.5765380859375,803.0765380859375,0.3795162694598777,0.03932174108688215,1.289404291218649,0.9996381404792597,435,0.0,True,0.0,stage_1_fast_path,620.2829810859246,155.07074527148114,0.005545701564122045,0.08996010571718216,23.985878,46.247886,0.6098433847182863,1.0594456194888793,6.5,1.625,A
id_010039,Al-Rayn Bin 'Asaylan,2011,10.0,8.0,0.826156,full,,1.0,799.9636840820312,808.2369384765625,0.09614597328227803,9.391730653450996e-05,1.9101496467322283,0.9898049478189853,110,0.0,False,88.69322816932235,stage_4_river_retry,147.8220469488706,18.477755868608824,0.005734413584571262,0.18108178675174713,23.666615,45.375946,0.3362923929123316,0.40705677004383145,8.27325439453125,1.0341567993164062,B
id_010041,Salabawakh,2008,12.0,10.0,0.9312,full,,1.0,690.0654296875,701.5654296875,0.32554258725911,0.002840227657012996,1.551408782660156,0.9989614698776353,376,0.0,True,0.0,stage_1_fast_path,235.3964830117829,23.53964830117829,0.010566617588800358,0.06599410623311996,25.074095,46.336166,1.010177695969592,1.084812817836761,11.5,1.15,A
id_010042,Al-'Afaj,2013,6.0,4.0,0.963524,full,,1.0,705.5057373046875,714.0057373046875,0.5099596315112144,0.056115134648901985,1.2758498419939137,0.9997175310322864,583,0.0,True,0.0,stage_2_upstream_walk,1271.750969899857,317.93774247496424,0.003918997289544742,0.05530903860926628,23.564587,45.614631,1.0737143184905928,1.114361778731607,8.5,2.125,A
id_010044,Al-Ghat,1975,10.5,9.0,1.0,full,,1.0,713.4002075195312,727.4002075195312,0.31725261013507167,0.2411079151900733,1.2008879682743447,0.9926717078004603,369,0.0,True,0.0,stage_1_fast_path,205.2520289395211,22.805780993280123,0.006864031719625704,0.11189574748277664,25.967778,45.035278,1.0514903582525543,1.0514903582525543,14.0,1.5555555555555556,A
id_010052,Namar,1959,8.0,6.0,1.5,full,,1.0,577.7185668945312,593.988525390625,0.07996093320229433,0.29239557386419823,1.2380562006429299,0.9981103137579144,92,0.0,False,353.7742829448691,stage_4_river_retry,235.8495219632461,39.30825366054102,0.003078304045842627,0.0738973319530487,24.5745,46.686333,0.34874265703718044,0.23249510469145362,16.26995849609375,2.7116597493489585,C
id_010053,Hanifah,1960,8.0,6.0,1.4,full,,1.0,598.2442626953125,617.7442626953125,0.4586049641267753,0.1666922769804178,1.2268699847614983,0.9953823512162477,528,0.0,True,0.0,stage_2_upstream_walk,265.24360620585156,44.20726770097526,0.000733686449840679,0.13701803982257843,24.657778,46.609167,1.5419289063751096,1.1013777902679356,19.5,3.25,D
id_010057,Al-Qawi'ah,1982,9.0,7.0,1.5,full,,1.0,830.1364135742188,839.6364135742188,0.5901972380780467,0.1207507306621097,1.230134085511386,0.9978929521851255,677,0.0,True,0.0,stage_3_quality_recovery,324.785728268983,46.397961181283286,0.003929010693227333,0.11414055526256561,24.040833,45.231333,1.5530818015303403,1.0353878676868935,9.5,1.3571428571428572,A
id_010061,Jalajil,1975,12.0,10.0,1.75,full,,1.0,774.3357543945312,786.3357543945312,0.6230962574810325,0.18266561561219397,1.2105228354343727,0.9995068870807425,723,0.0,True,0.0,stage_3_quality_recovery,645.8491666688807,64.58491666688806,0.004663504716424404,0.06743820756673813,25.651115,45.420007,1.8572232847463697,1.061270448426497,12.0,1.2,A
id_010062,Al-Khanqah,2007,12.0,10.0,1.9325,full,,1.0,877.4429321289062,892.9429321289062,0.47335277184499014,0.0017387160359499402,1.5941019904141172,0.9927779776186988,543,0.0,True,0.0,stage_1_fast_path,206.674459447296,20.6674459447296,0.0009023106965707246,0.23056700825691223,24.049167,44.968611,2.0036857202315095,1.0368360777394614,15.5,1.55,A
id_010063,Laban,1959,12.0,10.0,2.0,full,,1.0,621.2794799804688,633.2794799804688,0.6237939561862554,0.035943967618231175,1.3399486167208008,0.9988612404364334,718,0.0,True,0.0,stage_1_fast_path,324.2283934392058,32.42283934392058,0.03357187005076291,0.1436384916305542,24.621139,46.605278,2.085756741384614,1.042878370692307,12.0,1.2,A
id_010064,Thadiq,1976,6.0,4.0,2.0,full,,1.0,708.0431518554688,721.9239501953125,0.45035651838311486,0.15645960974046857,1.209687095293592,0.994611900340308,521,0.0,False,0.0,stage_2_upstream_walk,352.7909564845636,88.1977391211409,0.004192091387354009,0.0779508650302887,25.276489,45.875899,1.1513913291483857,0.5756956645741929,13.88079833984375,3.4701995849609375,D
id_010065,Al-Ahmar,2008,8.0,6.0,2.39445,full,,1.0,733.581298828125,744.581298828125,1.1041334866693304,0.14140468466036463,1.1961687412664048,0.9987726798957253,1252,0.0,True,0.0,stage_3_quality_recovery,742.4182430264894,123.73637383774825,0.008635896340578049,0.08876805752515793,22.370833,46.116667,2.4514497280903123,1.0238049356179133,11.0,1.8333333333333333,A
id_010066,Harimilah,1970,6.0,5.0,1.5,full,,1.0,769.3767700195312,781.2750244140625,0.1609859333017277,0.14623164575464975,1.2555254224194912,0.9981359694006899,186,0.0,False,0.0,stage_2_upstream_walk,676.6519360516459,135.33038721032918,0.00592800111749583,0.05125674605369568,25.098889,46.080556,0.5082741361905354,0.3388494241270236,11.89825439453125,2.37965087890625,B
id_010068,Al-Rawdah,1976,14.0,12.0,3.0,full,,1.0,735.857666015625,749.857666015625,1.0991813965688308,0.10051796984212487,1.243207640746684,0.999570227931141,1275,0.0,True,0.0,stage_1_fast_path,557.8702387328099,46.48918656106749,0.0019995265441157327,0.07635089755058289,25.609444,45.510278,3.2828884377522414,1.0942961459174139,14.0,1.1666666666666667,A
id_010069,Al-Hanabij,1978,8.0,6.0,1.5,partial,1015.0022583007812,0.9994354248046875,1015.0,1019.0,0.6361905124308689,7.528634368598117e-10,2.6531488550142344,0.958880692313105,729,0.0,True,0.0,stage_1_fast_path,649.9089395079276,108.3181565846546,0.007373615759252885,0.06585952639579773,23.99162,43.332023,1.7940310643755264,1.1960207095836843,4.0,0.6666666666666666,B
id_010070,Hawtat Bani Tamim,1984,13.0,11.0,9.056604,full,,1.0,569.447265625,589.947265625,3.0076616356244212,0.022459728573152205,1.3379379651905583,0.9985719026948081,3435,0.0,True,0.0,stage_2_upstream_walk,798.9413177573529,72.63102888703207,0.018888830281229254,0.1637980043888092,23.525,46.793306,10.45020134532095,1.1538763696989456,20.5,1.8636363636363635,A
id_010071,Al-Ha'ir,1976,14.0,12.0,3.8,full,,1.0,509.29583740234375,524.2958374023438,0.9398077011656538,0.0076509385665235715,1.464129011244063,0.9995084626998896,1080,0.0,True,147.4951114354408,stage_4_river_retry,294.9902228708816,24.582518572573466,0.01952345465193918,0.06374526768922806,24.419556,46.813167,4.250671915063822,1.1185978723852164,15.0,1.25,A
id_010072,Al-Hariq,1983,10.0,8.0,6.0,full,,1.0,705.1834106445312,719.1834106445312,2.3566510817199164,0.05269451661979171,1.2708697035338816,0.9993741522810758,2695,0.0,True,0.0,stage_1_fast_path,1833.411487884741,229.17643598559263,0.0006762601309797117,0.05287890136241913,23.671156,46.426503,6.685193884878946,1.1141989808131576,14.0,1.75,A
id_010073,Al-Halwah,2001,15.0,13.0,10.0,full,,1.0,627.0,646.0,1.832493191633063,0.000160779272025888,1.7275441235435842,0.9987468356908453,2092,0.0,True,0.0,stage_1_fast_path,1302.2459674547677,100.17276672728983,0.03564709576946113,0.1765037626028061,23.451103,46.690972,10.508586375107049,1.050858637510705,19.0,1.4615384615384615,A
id_010088,Sh'ib Al-Isar,2015,9.0,7.0,0.719462,full,,1.0,634.5908203125,642.5908203125,0.25446025700895836,0.004118335732296434,1.5247429067548481,0.9977649307761267,285,0.0,True,0.0,stage_3_quality_recovery,119.52191478044362,17.07455925434909,0.002806242782483972,0.09463030099868774,20.340036,45.395295,0.7388275883330283,1.026916763266202,8.0,1.1428571428571428,A
id_010091,Al-Majma'ah,1969,8.0,6.0,1.3,full,,1.0,716.4698486328125,733.0203247070312,0.3527822454974058,0.001634642406704963,1.6022916640245144,0.9913741925737649,410,0.0,False,0.0,stage_1_fast_path,264.0000087088407,44.00000145147345,0.012045106563271837,0.08144702762365341,25.863889,45.282222,1.4061814261076473,1.0816780200828056,16.55047607421875,2.7584126790364585,A
id_010092,Al-Safrat,1977,13.0,11.0,0.935,full,,1.0,711.872314453125,728.872314453125,0.36477007235102893,0.05912252414548454,1.2945362118138828,0.9978399929044927,422,0.0,True,0.0,stage_2_upstream_walk,646.8090011190848,58.80081828355316,0.0076176556586665545,0.15194831788539886,25.275316,46.025063,0.9614111681811185,1.0282472386963835,17.0,1.5454545454545454,A
id_010094,Al-Ghil,1984,12.0,10.0,2.5,full,,1.0,702.6876831054688,713.00048828125,0.7715806091659606,7.483645801646285e-05,1.7828266392097292,0.993078536626794,876,0.0,False,0.0,stage_2_upstream_walk,148.38931437638809,14.83893143763881,0.012198983776824858,0.11529058963060379,22.600798,46.459552,2.498608782022304,0.9994435128089216,10.31280517578125,1.031280517578125,A
id_010095,Al-Alab,1974,10.0,8.0,3.0,full,,1.0,650.2864990234375,667.7864990234375,0.7254739955408033,0.6942613172557336,1.1338409849049023,0.9989903314105352,836,0.0,True,0.0,stage_3_quality_recovery,324.04137875287415,40.50517234410927,0.00779783749884756,0.09561455994844437,24.774639,46.530889,3.0778407819190723,1.0259469273063575,17.5,2.1875,A
id_010096,Al-Mushaqar,2008,15.0,13.0,5.5792,full,,1.0,719.8338623046875,736.3338623046875,1.6770063285337005,0.08331923281907987,1.260289725869588,0.9997143513219937,1949,0.0,True,0.0,stage_1_fast_path,528.0000167359127,40.61538590276252,0.012041777024254975,0.08151458948850632,25.863889,45.282222,5.82994170291436,1.0449422323835604,16.5,1.2692307692307692,A
id_010102,Al-Kalbi,2011,7.0,3.5,0.595591,full,,1.0,723.6856689453125,729.1856689453125,0.39470116741424166,0.004591713128601728,1.4556566338002166,0.9994867249509986,459,0.0,True,0.0,stage_1_fast_path,615.8105960932646,175.9458845980756,0.0009553381767115903,0.04628176614642143,25.946111,45.253889,0.6389171402805699,1.0727447867421938,5.5,1.5714285714285714,A
id_010103,Khaim,2018,7.0,4.0,0.569546,full,,1.0,919.1248779296875,925.0055541992188,0.12487527259330358,0.0005946976720561724,1.6796758329497254,0.9963344884546765,142,0.0,False,0.0,stage_3_quality_recovery,88.96420602184176,22.24105150546044,0.0009466663794538217,0.13243916630744934,22.753504,44.918774,0.22314859451092098,0.39180082822269136,5.88067626953125,1.4701690673828125,B
id_010110,Wadi Asimar,2017,12.0,9.0,0.726465,full,,1.0,648.3804931640625,657.8804931640625,0.24165874623153671,0.003123057512585677,1.5581137876346567,0.9977646738666168,271,0.0,True,0.0,stage_3_quality_recovery,179.1710603643514,19.907895596039044,0.01258755341927568,0.08097200095653534,20.55081,45.439544,0.7601995614848156,1.046436595685705,9.5,1.0555555555555556,A
id_020015,Turabah,1981,20.0,16.0,20.0,full,,1.0,1190.6895751953125,1219.8912353515625,3.4870090905336966,0.02176313622528476,1.3570361586191286,0.9962163557273889,3915,0.0,False,0.0,stage_2_upstream_walk,507.3522351024059,31.70951469390037,0.007134054592672206,0.07054363936185837,21.013245,41.504203,17.74678317468299,0.8873391587341495,29.20166015625,1.825103759765625,A
id_020017,Al-Marwani,2009,61.0,53.35,183.6,full,,1.0,177.95822143554688,232.1367431640625,7.971608533856916,0.0021229712133363156,1.5804050960052085,0.9983786816291024,9030,0.0,False,0.0,stage_3_quality_recovery,564.5196481820525,10.581436704443345,0.03471223069081623,0.17405451834201813,22.17922,39.570881,171.0808271008786,0.9318127837738486,54.17852172851562,1.0155299293067594,A
id_020018,Rabigh,2008,60.0,50.5,220.35,full,,1.0,111.30220031738281,168.7603530883789,11.81340511235856,0.7016271624106379,1.1878918627600186,0.9980491337968874,13439,0.0,False,0.0,stage_1_fast_path,385.4316941966903,7.632310776172084,0.007795312711470938,0.12673377990722656,22.821667,39.375833,172.88982991303206,0.7846146127208171,57.458152770996094,1.1377852033860614,A
id_020019,Hali,2009,87.0,47.0,254.0,full,,1.0,73.18768310546875,119.9498519897461,14.619766016854147,0.008691722028256195,1.4536509181625397,0.9997453581391771,16199,0.0,False,0.0,stage_2_upstream_walk,390.54354186568025,8.30943706097192,0.015427267754588074,0.18545660376548767,18.7675,41.575,230.40323452631148,0.9070993485287854,46.762168884277344,0.9949397634952626,A
id_020020,Al-Naqabiyah,1989,20.0,18.0,10.0,full,,1.0,968.1435546875,989.1435546875,1.4306833014192533,0.004644789851926447,1.5219737791337486,0.9958951269286083,1607,0.0,True,0.0,stage_5_relaxed_alignment,745.9398766364061,41.44110425757812,0.000833608640094109,0.042433660477399826,21.068958,42.575023,10.114049561775625,1.0114049561775624,21.0,1.1666666666666667,A
id_020023,Qununa,2015,46.0,38.0,79.2,full,,1.0,211.41534423828125,248.8406982421875,5.90152066046643,0.002531042886096309,1.5473166098615425,0.9996707370212209,6557,0.0,False,0.0,stage_1_fast_path,330.0061695959564,8.684372884104116,0.040908078246772506,0.22724701464176178,19.255286,41.559011,75.70588067634641,0.9558823317720506,37.42535400390625,0.9848777369449013,A
id_020043,Dharah,2012,24.0,20.0,0.50991,full,,1.0,1869.730712890625,1885.730712890625,0.07929340962718875,0.004022868305112927,1.6586377413897426,0.9936215597498045,89,0.0,True,0.0,stage_3_quality_recovery,149.2428546717016,7.46214273358508,0.009775959651983482,0.40070250630378723,20.8425,40.856667,0.5283257517856509,1.0361156905839284,16.0,0.8,A
