dam_id,dam_name,capacity_mcm,c,b,source
id_010080,Al-Tamriyah,0.241922,0.0009349635214978047,1.696806363913888,srtm_derived
id_010081,Hajilah,0.197,0.004523252898177924,1.5558517322403753,regi_multi
id_010082,Safar,0.3,0.0022877967541374477,1.5558517322403753,regi_multi
id_010083,Ashirah,0.3,0.003579353009469057,1.5088546907299762,srtm_derived
id_010084,Al-Halifah,0.4,0.0015860553285101649,1.5558517322403753,regi_multi
id_010085,Al-Sadarih,0.3,0.003947302497513507,1.5558517322403753,regi_multi
id_010086,Al-Sadirah Am Nakhlah,0.216,6.444311311950606e-05,2.0,srtm_derived
id_010087,Al-Haysiyah,0.43646,0.0013568105478583762,1.606785730538549,srtm_derived
id_010088,Sh'ib Al-Isar,0.719462,0.001874536094930096,1.5900882123095095,srtm_derived
id_010090,Al-Barah,0.6,0.006355329442151308,1.4090542460881,srtm_derived
id_010091,Al-Majma'ah,1.3,0.0021918093662591713,1.5729599964098986,srtm_derived
id_010092,Al-Safrat,0.935,0.038854059989966785,1.326547616537637,srtm_derived
id_010093,Samnan,1.5,0.18746306286694012,1.241886654946227,srtm_derived
id_010094,Al-Ghil,2.5,3.2944704825442e-05,1.8466727205376892,srtm_derived
id_010095,Al-Alab,3.0,0.6998281545421029,1.1333624348166356,srtm_derived
id_010096,Al-Mushaqar,5.5792,0.07782516255184004,1.2652207943335487,srtm_derived
id_010097,Ari'ah Al-Janubi,0.050582,0.006079845623699156,1.5558517322403753,regi_multi
id_010098,Abaraqih,0.133792,0.0015340571300804908,1.5558517322403753,regi_multi
id_010099,Jawi,0.138033,0.0048240396335279875,1.5558517322403753,regi_multi
id_010100,Al-Ananiyah,0.3,0.00036627371177574687,1.7492200377970974,srtm_derived
id_010102,Al-Kalbi,0.595591,0.002208713028425566,1.5020137216553189,srtm_derived
id_010103,Khaim,0.569546,0.004627308120715309,1.5558517322403753,regi_multi
id_010104,Ba'ij,0.14003,0.005174832936023466,1.5558517322403753,regi_multi
id_010105,Ari'ah Al-Shamali,0.03774,0.007085457617776788,1.5558517322403753,regi_multi
id_010106,Ruwaighib,0.14003,0.00011315373018565377,1.9432240023310394,srtm_derived
id_010107,Malih,0.22604,0.14558808679296972,1.2252917967272403,srtm_derived
id_010108,Aba Al-Lasf,0.70033,1.6112973674485315e-05,2.0,srtm_derived
id_010110,Wadi Asimar,0.726465,0.001712664585941492,1.6061031790799172,srtm_derived
id_010112,Al-Khadar,0.265139,0.004553828726665862,1.5558517322403753,regi_multi
id_010113,Turif,0.08,0.006632114098408546,1.5558517322403753,regi_multi
id_010114,Samanan Al-Tad'imi,0.280037,0.10803428011086305,1.232790442932658,srtm_derived
