dam_id,dam_name,construction_year,dam_height_m,spillway_height_m,dam_length_m,capacity_mcm,curve_type,srtm_water_level_m,coverage_fraction,z_min,z_max,footprint_area_km2,c,b,r_squared,n_pixels,void_fraction,capped,placement_upstream_shift_m,placement_method,valley_width_m,valley_ratio,channel_slope,mean_catchment_slope,upstream_area_km2,lat,lon,srtm_max_vol_mcm,vol_ratio,z_range,z_range_ratio,quality,uncertainty_flags,uncertainty_score,sed_yield_t_ha_yr,owe_mm_year,predicted_silt_fraction,sediment_risk
id_010000,Al-Hariqah,1970.0,6.0,4.0,190.0,0.08,full,,1.0,666.0,674.5,0.029508426091284,0.0108871744198993,1.5319172662341047,0.9872559671548696,34,0.0,True,0.0,stage_1_fast_path,147.30027877076188,36.82506969269047,0.0026715455066723,0.101788081228733,1327.181422,24.757882,46.527667,0.0839688301274039,1.0496103765925489,8.5,2.125,B,height_noise;pre_srtm,2,3.467380732,,1.000000,fully_silted
id_010001,Tamir,2011.0,5.5,4.0,230.0,0.061523,full,,1.0,666.0,670.0,0.0792629182533493,0.1677328131138925,1.1603075885833,0.9950347949355656,92,0.0,True,0.0,stage_1_fast_path,293.5223090798273,73.38057726995683,0.0053966772420896,0.0579404346644878,10.39585528,25.710225,45.827694,0.0796936949829871,1.2953479996584552,4.0,1.0,A,height_noise,1,0.419758551,,0.081841,low
id_010002,Shi'b Al-Qasr Al-Asfal,2008.0,6.5,5.0,164.0,0.09117,full,,1.0,700.5,703.3739013671875,0.0129790030344312,0.003407370101562,1.603224512256428,0.9805823040968986,15,0.0,False,0.0,stage_1_fast_path,147.07709449146785,29.41541889829357,0.0193049196200513,0.0915092751383781,476.0297376,25.153833,46.267694,0.0140605866206339,0.1542238304336284,2.8739013671875,0.5747802734375,D,sub_pixel,1,3.028792013,,1.000000,fully_silted
id_010003,Al-Manih,1980.0,6.0,4.0,100.0,0.1,full,,1.0,714.0,715.1840209960938,0.0095205248927182,8.148088198613267e-32,8.795006741486034,0.9847153181414848,11,0.0,False,0.0,stage_2_upstream_walk,205.93593879103483,51.48398469775871,0.0111330225255349,0.0466628409922122,6.795315792,25.067531,45.450892,0.008005895932513,0.0800589593251305,1.18402099609375,0.2960052490234375,D,sub_pixel;height_noise;pre_srtm,3,2.335154861,2494.2,0.561487,severe
id_010004,Qabiban,2012.0,5.0,3.0,630.0,0.128442,full,,1.0,775.0,779.6119384765625,0.0735148997449489,8.305203526402437e-07,2.282633219146553,0.9575314014859092,84,0.0,False,0.0,stage_3_quality_recovery,207.0837789830167,69.02792632767223,0.0026749423037375,0.1053938567638397,11.00313286,23.483889,45.536389,0.119242917741063,0.928379484444832,4.6119384765625,1.5373128255208333,B,height_noise,1,4.601179458,2560.9,0.424486,high
id_010005,Al-Ashr,2013.0,6.5,5.0,173.0,0.101387,full,,1.0,736.5,738.180419921875,0.0146944749009745,0.001305647890081,1.6776012547519117,0.9568270142854606,17,0.0,False,0.0,stage_2_upstream_walk,558.6067457761106,111.72134915522211,0.0023024711114799,0.0481190718710422,4.683855356,25.240986,45.211788,0.0133979035861826,0.1321461685046666,1.680419921875,0.336083984375,D,sub_pixel,1,2.144710158,2496.7,0.099081,low
id_010006,Al-Dahinah,2009.0,11.0,9.0,70.0,0.11664,full,,1.0,747.5,758.5,0.0267241316484604,0.0015885306952737,1.783166245420051,0.984468734105954,31,0.0,True,0.0,stage_2_upstream_walk,88.08302257349061,9.787002508165624,0.0370382861351343,0.088054671883583,16.25706446,25.608753,45.290367,0.1211206611809254,1.038414447710266,11.0,1.2222222222222223,B,narrow_valley,1,2.784133981,2479.6,0.507447,severe
id_010008,Al-Ghadir,2010.0,6.0,4.0,161.0,0.119,full,,1.0,725.5,733.0,0.0778009938525473,0.4532499836263305,1.114555637496086,0.9963370633660852,90,0.0,True,0.0,stage_2_upstream_walk,88.20487166395479,22.051217915988698,0.0107356431752595,0.0551801733672618,10.72425836,25.22936,45.226406,0.1305327785748294,1.0969141056708358,7.5,1.875,A,narrow_valley;height_noise,2,2.306460919,2496.7,0.255825,high
id_010010,Al-Khalif,2012.0,7.0,5.0,152.0,0.147368,full,,1.0,729.5,733.9733276367188,0.0311071100752436,0.0010379965185144,1.7174233805325207,0.99538305185048,36,0.0,False,0.0,stage_1_fast_path,117.581385668242,23.5162771336484,0.0077079051438114,0.0494627729058265,21.90740876,25.28749,45.174242,0.0546534642294212,0.3708638525963657,4.47332763671875,0.89466552734375,B,-,0,2.411548819,2492.7,0.386072,high
id_010011,Al-Mahdiyah,2003.0,12.0,10.0,102.0,0.15,full,,1.0,751.5,759.0,0.0573155914031775,0.0009973226467487,1.728036934151059,0.9962698206570768,66,0.0,True,0.0,stage_3_quality_recovery,117.87573467432868,11.787573467432868,0.015289183102695,0.1572138667106628,31.73482847,24.662778,46.427778,0.1719467742095325,1.1463118280635507,7.5,0.75,A,-,0,2.913758025,2522.2,1.000000,fully_silted
id_010012,Al-Fawarah,2012.0,5.0,3.0,370.0,0.164,full,,1.0,825.0,832.5,0.1042834676166763,0.7379890594919681,1.0857725536370046,0.9907748848104904,119,0.0,True,0.0,stage_1_fast_path,384.8376939034082,128.27923130113606,0.0055480602291112,0.1974932998418808,14.79661195,23.280191,45.236743,0.2096623498091581,1.278428962250964,7.5,2.5,A,height_noise,1,3.051257907,2546.6,0.296471,high
id_010014,Al-Hafirah,2003.0,8.0,6.0,400.0,0.17,full,,1.0,842.0,848.0,0.0791091783688234,0.0047553222279203,1.547677116568826,0.9986920679956528,90,0.0,True,0.0,stage_1_fast_path,474.3644831938457,79.06074719897428,0.043181762519538,0.0964912101626396,16.49082014,22.824444,44.954722,0.1810721193775291,1.0651301139854654,6.0,1.0,A,-,0,9.602743891,2579.0,1.000000,fully_silted
id_010015,Malham,1970.0,5.0,4.0,100.0,0.2,full,,1.0,700.0,709.2372436523438,0.0536497281300339,0.0069485705758598,1.5827008437202748,0.99575391598309,62,0.0,False,0.0,stage_1_fast_path,176.49774798349551,44.12443699587388,0.0092465624361896,0.1328386217355728,467.9401323,25.143333,46.240556,0.2226031058298584,1.1130155291492922,9.23724365234375,2.309310913085937,A,height_noise;pre_srtm,2,2.201177196,2501.9,1.000000,fully_silted
id_010017,Halifah Al-Musa'id,1985.0,5.0,3.0,50.0,0.2,full,,1.0,729.0,736.8389282226562,0.0553675690343142,0.000294555401728,1.859683090775414,0.9984397366156016,64,0.0,False,0.0,stage_5_relaxed_alignment,88.23867856813382,29.412892856044607,0.0158823383166371,0.0338619649410247,7.838716372,25.126667,45.371556,0.1970306851182041,0.9851534255910208,7.83892822265625,2.61297607421875,A,narrow_valley;height_noise;pre_srtm,3,2.143427489,2494.2,0.264950,high
