date,time,satellite,water_area_km2
2009-03-10,07:21:56,L7,0.0
2009-04-11,07:22:08,L7,0.0162
2009-11-13,07:22:09,L5,2.349815294117647
2010-02-01,07:22:41,L5,2.5362
2010-04-14,07:24:02,L7,2.4876
2010-06-01,07:23:57,L7,3.6792
2010-06-17,07:23:58,L7,3.4857
2010-11-08,07:24:27,L7,4.2156
2011-05-03,07:25:26,L7,5.3424
2011-08-23,07:25:12,L7,5.4315
2011-09-24,07:25:04,L7,5.2524
2012-03-02,07:25:56,L7,4.8312
2012-04-19,07:25:56,L7,5.7843
2012-06-22,07:26:17,L7,3.7206
2012-09-26,07:27:22,L7,5.8779
2013-05-08,07:27:42,L7,5.1696
2013-09-29,07:27:36,L7,5.1804
2013-10-15,07:27:49,L7,5.0004
2013-10-23,07:33:36,L8,5.3433
2013-12-02,07:28:08,L7,5.257341176470589
2013-12-26,07:33:15,L8,5.248821176470588
2014-02-04,07:28:43,L7,5.5431
2014-02-28,07:32:28,L8,5.539725882352941
2014-03-08,07:28:37,L7,5.1201
2014-03-16,07:32:19,L8,5.20942588235294
2014-03-24,07:28:44,L7,4.8564
2014-04-01,07:32:02,L8,5.56312588235294
2014-04-09,07:28:48,L7,4.7466
2014-04-17,07:31:44,L8,5.4612
2014-04-25,07:29:01,L7,4.95
2014-09-24,07:31:54,L8,5.8014
2014-10-26,07:32:01,L8,5.468308235294118
2014-11-03,07:30:01,L7,4.8744
2014-12-05,07:30:12,L7,5.1291
2014-12-13,07:31:54,L8,5.575521176470588
2015-02-07,07:30:31,L7,4.869
2015-03-11,07:30:43,L7,4.7313
2015-03-19,07:31:24,L8,5.3811
2015-03-27,07:30:52,L7,4.9797
2015-04-28,07:31:06,L7,3.8907
2015-05-14,07:31:15,L7,5.1669
2015-05-30,07:31:19,L7,4.6737
2015-07-01,07:31:27,L7,4.3353
2015-08-18,07:31:40,L7,3.8259
2015-09-03,07:31:40,L7,4.8816
2015-09-11,07:31:43,L8,5.2605
2015-09-27,07:31:49,L8,4.9095
2015-10-05,07:31:48,L7,4.4433
2015-10-13,07:31:49,L8,4.7691
2015-10-21,07:32:08,L7,4.3281
2016-03-13,07:33:54,L7,4.4379
2016-05-16,07:34:13,L7,4.8366
2016-06-09,07:31:30,L8,5.564961176470588
