date,time,satellite,water_area_km2
1986-09-04,06:46:31,L5,1.6785
1987-03-15,06:47:30,L5,1.3221
1987-06-03,06:49:56,L5,0.0
1987-07-21,06:50:54,L5,0.0
1988-01-13,06:54:40,L5,0.2727
1988-05-04,06:55:54,L5,0.0009
1988-06-05,06:56:09,L5,0.0045
1988-06-21,06:56:14,L5,0.0027
1988-08-08,06:56:21,L5,0.0522
1988-10-11,06:56:13,L5,0.0027
1988-10-27,06:56:11,L5,0.081
1988-12-14,06:56:00,L5,1.737868235294117
1989-04-05,06:54:45,L5,0.0
1989-05-07,06:54:21,L5,0.0036
1989-05-23,06:54:02,L5,0.0027
1989-07-10,06:53:07,L5,0.0036
1989-08-27,06:52:06,L5,0.0009
1989-09-28,06:51:21,L5,0.0063458823529411
1989-10-14,06:50:51,L5,0.0
1990-01-02,06:48:30,L5,2.56362
1990-03-07,06:46:27,L5,0.0711
1990-04-08,06:45:45,L5,0.0072
1990-05-26,06:45:48,L5,0.0009
1990-06-11,06:45:49,L5,0.0
1990-06-27,06:45:48,L5,0.0
1990-07-29,06:45:41,L5,0.0018
1990-08-30,06:45:30,L5,0.0
1990-09-15,06:45:29,L5,0.1701
1990-10-01,06:45:16,L5,0.0018
1990-10-17,06:45:11,L5,0.0387
1990-11-18,06:45:06,L5,0.5582823529411763
1990-12-04,06:44:49,L5,1.851568235294117
1990-12-20,06:45:10,L5,2.549230588235294
1991-01-21,06:46:03,L5,2.592045882352941
1991-04-27,06:47:44,L5,0.009
1991-11-05,06:49:48,L5,0.0063
1991-11-21,06:49:49,L5,0.0252
1991-12-23,06:49:58,L5,0.3861
1992-03-12,06:49:48,L5,0.0
1992-03-28,06:49:42,L5,0.0
1992-04-13,06:49:37,L5,0.0
1992-05-31,06:49:11,L5,0.0
1992-08-03,06:48:24,L5,0.6129176470588235
1992-09-20,06:47:38,L5,0.0
1992-10-06,06:47:14,L5,0.009
1992-11-23,06:46:39,L5,0.0288
1992-12-09,06:46:53,L5,0.1791
1993-02-27,06:47:38,L5,0.0108
1993-07-21,06:48:02,L5,0.0036
1993-09-07,06:47:59,L5,0.0099
1993-11-10,06:47:38,L5,0.252
1993-12-12,06:47:28,L5,1.561027058823529
1993-12-28,06:47:18,L5,1.770963529411765
1994-01-13,06:47:03,L5,2.100758823529412
1994-01-29,06:46:52,L5,0.9399529411764708
