elevation_m,area_m2,volume_m3
711.872314453125,864.38405770386,0.0
712.372314453125,864.38405770386,432.19202885193
712.872314453125,864.38405770386,864.38405770386
713.372314453125,864.38405770386,1296.57608655579
713.872314453125,864.38405770386,1728.76811540772
714.372314453125,864.38405770386,2160.96014425965
714.872314453125,864.38405770386,2593.15217311158
715.372314453125,864.38405770386,3025.34420196351
715.872314453125,864.38405770386,3457.53623081544
716.372314453125,1728.76811540772,4105.824274093335
716.872314453125,1728.76811540772,4970.208331797195
717.372314453125,1728.76811540772,5834.592389501055
717.872314453125,1728.76811540772,6698.976447204915
718.372314453125,1728.76811540772,7563.360504908775
718.872314453125,1728.76811540772,8427.744562612635
719.372314453125,4321.9202885193,9940.416663594391
719.872314453125,5186.30434622316,12317.472822280006
720.372314453125,6050.68840392702,15126.721009817551
720.872314453125,8643.8405770386,18800.353255058955
721.372314453125,10372.60869244632,23554.465572430185
721.872314453125,12101.37680785404,29172.961947505275
722.372314453125,13830.14492326176,35655.84238028422
722.872314453125,25067.13767341194,45380.16302945265
723.372314453125,31982.21013504282,59642.49998156634
723.872314453125,41490.43476978528,78010.66120777337
724.372314453125,59642.49998156634,103293.89489561127
724.872314453125,81252.10142416284,138517.54524704357
725.372314453125,102861.70286675934,184545.99631977413
725.872314453125,132250.76082869057,243324.11224363663
726.372314453125,166826.12313684498,318093.3332350205
726.872314453125,192757.64486796077,407989.27523622196
727.372314453125,230790.5434069306,513876.3223049448
727.872314453125,274009.74629212363,640076.3947297083
728.372314453125,323279.63758124365,789398.7406980501
728.872314453125,364770.0723510289,961411.1681811183
