elevation_m,area_m2,volume_m3
1602.1759033203125,850.9013256037983,0.0
1602.6759033203125,850.9013256037983,425.45066280189917
1603.1759033203125,2552.703976811395,1276.3519884056975
1603.6759033203125,5105.40795362279,3190.879971014244
1604.1759033203125,5956.309279226589,5956.309279226589
1604.6759033203125,8509.013256037983,9572.63991304273
1605.1759033203125,9359.914581641782,14039.871872462672
1605.6759033203125,12763.519884056976,19570.730488887362
1606.1759033203125,16167.125186472169,26803.391756519646
1606.6759033203125,21272.533140094958,36163.30633816143
1607.1759033203125,22974.335791302554,47225.0235710108
1607.6759033203125,25527.03976811395,59350.36746086493
1608.1759033203125,30632.44772173674,73390.2393333276
1608.6759033203125,39141.460977774725,90833.71650820546
1609.1759033203125,44246.86893139751,111680.79898549852
