elevation_m,area_m2,volume_m3
1701.9580078125,904.995230960479,0.0
1702.4580078125,904.995230960479,452.4976154802395
1702.9580078125,904.995230960479,904.995230960479
1703.4580078125,904.995230960479,1357.4928464407185
1703.9580078125,904.995230960479,1809.990461920958
1704.4580078125,1809.990461920958,2488.7368851413175
1704.9580078125,2714.985692881437,3619.9809238419166
1705.4580078125,2714.985692881437,4977.473770282635
1705.9580078125,4524.976154802395,6787.464232203593
1706.4580078125,5429.971385762874,9276.20111734491
1706.9580078125,7239.961847683832,12443.684425706586
1707.4580078125,9954.94754056527,16742.41177276886
1707.9580078125,11764.938002486228,22172.383158531735
1708.4580078125,13574.928464407185,28507.34977525509
1708.9580078125,15384.918926328144,35747.31162293892
1709.4580078125,15384.918926328144,43439.77108610299
1709.9580078125,15384.918926328144,51132.230549267064
1710.4580078125,19909.89508113054,59955.934051131735
1710.9580078125,25339.866466893414,71268.37443813772
1711.4580078125,25339.866466893414,83938.30767158442
1711.9580078125,28054.85215977485,97286.98732825149
1712.4580078125,29864.842621695807,111766.91102361915
1712.9580078125,32579.828314577244,127378.07875768741
1713.4580078125,34389.81877649821,144120.49053045627
1713.9580078125,34389.81877649821,161315.39991870537
1714.4580078125,37104.80446937964,179189.05573017482
1714.9580078125,38009.79970034012,197967.70677260475
1715.4580078125,42534.775855142514,218103.85066147542
1715.9580078125,47059.75200994491,240502.48262774726
1716.4580078125,49774.73770282634,264711.1050559401
1716.9580078125,51584.72816474731,290050.9715228335
1717.4580078125,53394.71862666826,316295.8332206874
