elevation_m,area_m2,volume_m3
1959.5020751953125,905.2362153648359,0.0
1960.0020751953125,1810.4724307296717,678.9271615236269
1960.5020751953125,2715.7086460945075,1810.4724307296717
1961.0020751953125,4526.181076824179,3620.9448614593434
1961.5020751953125,6336.653507553851,6336.65350755385
1962.0020751953125,10862.83458437803,10636.525530536821
1962.5020751953125,13578.543230472538,16746.86998424946
1963.0020751953125,14483.779445837374,23762.450653326938
1963.5020751953125,17199.488091931882,31683.26753776925
1964.0020751953125,20820.432953391224,41188.24779910003
1964.5020751953125,25346.614030215405,52730.00954500168
1965.0020751953125,30778.03132240442,66761.17088315664
1965.5020751953125,37114.68482995827,83734.34992124731
1966.0020751953125,44356.574552876955,104102.16476695612
1966.5020751953125,52503.70049116048,128317.23352796548
1967.0020751953125,60650.826429444,156605.8652581166
1967.5020751953125,67892.71615236269,188741.75090356826
1968.0020751953125,76945.07830601104,224951.1995181617
1968.5020751953125,82376.49559820007,264781.5929942145
1969.0020751953125,90523.62153648358,308006.62227788544
1969.5020751953125,97765.51125940228,355078.9054768569
1970.0020751953125,107723.10962841546,406451.0606988114
1970.5020751953125,118585.9442127935,463028.32415911363
1971.0020751953125,137595.90473545506,527073.7863961757
