date,time,satellite,water_area_km2
1984-03-27,07:22:16,,0.0
1984-09-01,07:23:01,,0.0
1986-05-18,07:17:33,,0.0
1986-06-03,07:17:05,,0.0
1989-10-01,07:18:39,,0.0
1990-03-10,07:13:40,,0.0
1990-11-21,07:12:22,,0.0
1995-09-16,06:54:51,,0.0
1984-06-20,07:27:31,,0.0
1984-07-06,07:27:41,,0.0
1984-10-10,07:29:14,,0.0054
1984-12-29,07:29:21,,0.0
1986-01-17,07:26:28,,0.0
1986-02-02,07:26:08,,0.0
1986-02-18,07:25:45,,0.0
1986-04-23,07:24:23,,0.0
1986-09-14,07:19:43,,0.0
1986-10-16,07:18:42,,0.0
1987-01-04,07:18:32,,0.0
1987-02-05,07:19:32,,0.0
1987-02-21,07:20:10,,0.0
1987-04-10,07:21:55,,0.0
1987-04-26,07:22:25,,0.0
1987-05-12,07:22:52,,0.0
1987-06-13,07:23:39,,0.0
1987-06-29,07:24:00,,0.0
1987-07-31,07:24:44,,0.0
1987-09-17,07:26:02,,0.0
1987-10-03,07:26:22,,0.0
1987-10-19,07:26:39,,0.0
1987-11-04,07:26:58,,0.0
1988-01-23,07:28:20,,0.0
1988-02-08,07:28:38,,0.0
1988-03-27,07:29:10,,0.0
1988-05-14,07:29:30,,0.0
1988-05-30,07:29:37,,0.0
1988-06-15,07:29:42,,0.0
1988-07-17,07:29:51,,0.0
1988-08-02,07:29:52,,0.0
1988-08-18,07:29:52,,0.0
1988-09-03,07:29:55,,0.0
1988-09-19,07:29:51,,0.0
1988-10-05,07:29:46,,0.0
1988-11-22,07:29:45,,0.0
1989-01-09,07:29:23,,0.0
1989-03-30,07:28:07,,0.0
1989-04-15,07:28:13,,0.0
1989-05-17,07:27:36,,0.0
1989-06-18,07:26:58,,0.0
1989-08-21,07:25:42,,0.0
1989-09-06,07:25:22,,0.0
1989-10-08,07:24:39,,0.0
1990-02-13,07:20:42,,0.0
1990-03-17,07:19:38,,0.0
1990-04-18,07:19:22,,0.0
1990-05-20,07:19:23,,0.0
1990-06-05,07:19:19,,0.0
1990-06-21,07:19:18,,0.0
1990-07-07,07:19:16,,0.0
1990-07-23,07:19:12,,0.0
1990-09-09,07:18:58,,0.0
1990-09-25,07:18:53,,0.0
1990-10-11,07:18:45,,0.0
1990-10-27,07:18:38,,0.0
1990-11-28,07:18:25,,0.0
1991-01-15,07:19:23,,0.0
1991-03-04,07:20:16,,0.0
1991-04-21,07:21:07,,0.0
1991-05-07,07:21:27,,0.0
1991-06-08,07:21:56,,0.1057411764705882
1991-06-24,07:22:10,,0.0
1991-08-11,07:22:39,,0.0
1991-08-27,07:22:47,,0.0
1991-09-12,07:23:00,,0.0
1991-09-28,07:23:05,,0.0
1991-10-30,07:23:16,,0.0
1992-01-18,07:23:24,,0.0
1992-02-19,07:23:17,,0.0
1992-04-23,07:23:00,,0.0
1992-07-28,07:21:58,,0.0
1992-08-13,07:21:44,,0.0
1992-08-29,07:21:29,,0.0
1992-09-14,07:21:15,,0.0
1992-09-30,07:20:54,,0.0
1992-11-17,07:20:09,,0.0
1992-12-19,07:20:29,,0.0
1993-01-20,07:20:50,,0.0
1993-02-21,07:21:05,,0.0
1993-03-09,07:21:17,,0.0
1993-04-26,07:21:34,,0.0
1993-06-13,07:21:39,,0.0
1993-07-15,07:21:32,,0.0079694117647058
1993-09-01,07:21:30,,0.0
1993-10-03,07:21:24,,0.0
1993-12-06,07:21:00,,0.0
1994-02-08,07:20:16,,0.0
1994-04-13,07:19:14,,0.0
1994-05-31,07:18:22,,0.0
1994-06-16,07:18:02,,0.0
1994-07-02,07:17:38,,0.0
1994-07-18,07:17:12,,0.0
1994-08-03,07:16:44,,0.0
1994-08-19,07:16:21,,0.0
1994-09-04,07:15:58,,0.0
1994-09-20,07:15:32,,0.0
1994-10-22,07:14:34,,0.0
1994-12-09,07:12:58,,0.0
1995-01-26,07:11:18,,0.0
1995-02-11,07:10:39,,0.0
1995-02-27,07:10:01,,0.0
1995-03-31,07:08:42,,0.0
1995-04-16,07:08:02,,0.0
1995-05-18,07:06:37,,0.0
1995-06-03,07:05:52,,0.0
1995-06-19,07:05:09,,0.0
1995-07-05,07:04:25,,0.0
1995-07-21,07:03:42,,0.0
1995-08-06,07:02:58,,0.0
1995-08-22,07:02:14,,0.0
1995-09-07,07:01:28,,0.0
1995-09-23,07:00:41,,0.0
1995-10-25,06:58:57,,0.0
1995-11-10,06:58:36,,0.0
1995-11-26,06:58:56,,0.0
1996-01-13,07:02:17,,0.0
1996-03-17,07:06:38,,0.0
1996-04-02,07:07:39,,0.0
1996-05-04,07:09:35,,0.0
1996-05-20,07:10:30,,0.0
1996-06-05,07:11:24,,0.0
1996-07-07,07:13:06,,0.0
1996-08-08,07:14:48,,0.0
1996-08-24,07:15:38,,0.0
1996-09-09,07:16:32,,0.0
1996-09-25,07:17:24,,0.0
1996-10-11,07:18:14,,0.0
1996-11-12,07:19:48,,0.0
1996-12-14,07:21:19,,0.0
1996-12-30,07:22:04,,0.0
1997-02-16,07:24:14,,0.0
1997-03-04,07:24:53,,0.0
1997-03-20,07:25:31,,0.0
1997-04-05,07:26:06,,0.0
1997-05-07,07:27:13,,0.0
1997-05-23,07:27:47,,0.0
1997-06-08,07:28:20,,0.0
1997-06-24,07:28:53,,0.0
1997-07-10,07:29:26,,0.0
1997-07-26,07:29:59,,0.0
1997-08-11,07:30:30,,0.0
1997-08-27,07:31:00,,0.0
1997-09-12,07:31:27,,0.0
1997-09-28,07:31:55,,0.0
1998-02-19,07:35:21,,0.0
