date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1994-05-26,07:00:43,0.0,0.0,0.0
1994-06-11,07:00:24,0.0,0.0,0.0
1994-06-27,07:00:02,0.0,0.0,0.0
1994-07-13,06:59:36,0.0,0.0,0.0
1994-08-14,06:58:44,0.0,0.0,0.0
1994-08-30,06:58:20,0.0,0.0,0.0
1994-09-15,06:57:56,6.0,98.12078519493129,0.0
1994-10-01,06:57:29,1.0,1.0,0.0
1994-11-02,06:56:26,44.0,100.0,0.0
1994-11-18,06:55:52,0.0,0.0,0.0
1994-12-04,06:55:23,45.0,45.0,0.0
1994-12-20,06:54:52,0.0,0.0,0.0
1995-01-05,06:54:19,0.0,0.0,0.0
1995-01-21,06:53:44,0.0,0.0,0.0
1995-02-06,06:53:06,8.0,8.0,0.0
1995-02-22,06:52:28,2.0,2.0,0.0
1995-03-10,06:51:50,0.0,0.0,0.0
1995-03-26,06:51:10,13.0,100.0,0.0
1995-04-11,06:50:30,0.0,0.0,0.0
1995-04-27,06:49:48,0.0,0.0,0.0
1995-05-13,06:49:05,0.0,0.0,0.0
1995-05-29,06:48:21,0.0,1.0371777529745405,0.0
1995-06-14,06:47:37,0.0,0.0,0.0
1995-07-16,06:46:10,0.0,0.0,0.0
1995-08-01,06:45:27,1.0,1.0,0.0
1995-08-17,06:44:43,0.0,0.0,0.0
1995-09-02,06:43:58,0.0,0.0,0.0
1995-09-18,06:43:11,0.0,0.0,0.0
1995-10-04,06:42:22,1.0,1.0,0.0
1995-10-20,06:41:29,0.0,0.0,0.0
1995-11-05,06:40:54,0.0,0.0,0.0
1995-11-21,06:41:02,2.0,2.0,0.0
1995-12-07,06:41:51,31.0,100.0,2.0634988235294114
1996-02-25,06:47:30,0.0,0.0,0.0072
1996-03-12,06:48:33,30.0,0.0314146961644504,0.0
1996-03-28,06:49:35,1.0,1.0,0.0
1996-04-13,06:50:35,74.0,100.0,0.0
1996-04-29,06:51:32,0.0,0.0,0.006645882352941177
1996-05-15,06:52:28,0.0,0.0,0.0
1996-05-31,06:53:23,0.0,0.0,0.0
1996-06-16,06:54:15,0.0,0.0,0.0
1996-07-02,06:55:06,0.0,0.0,0.0018
1996-07-18,06:55:57,0.0,0.0,0.0
1996-08-03,06:56:47,0.0,0.0,0.0
1996-08-19,06:57:37,1.0,58.173487967555396,0.0
1996-09-04,06:58:30,5.0,5.0,0.0
1996-09-20,06:59:23,0.0,0.0,0.0
1996-10-06,07:00:14,0.0,0.0,0.0
1996-10-22,07:01:03,0.0,0.0,0.0
1996-11-07,07:01:49,1.0,1.0,0.0
1996-11-23,07:02:33,76.0,96.99424157361265,0.24450352941176468
1996-12-25,07:04:05,6.0,6.0,0.0
1997-01-10,07:04:51,28.0,25.718534177957487,0.0
1997-01-26,07:05:34,0.0,0.0,0.0
1997-02-11,07:06:17,0.0,0.0,0.0
1997-02-27,07:06:57,0.0,0.0,0.0
1997-03-31,07:08:10,17.0,23.829340587048275,0.00019411764705882354
1997-04-16,07:08:44,75.0,100.0,0.0
1997-05-02,07:09:18,77.0,100.0,0.0
1997-05-18,07:09:51,0.0,0.0,0.0
1997-06-03,07:10:25,0.0,0.0,0.0
1997-06-19,07:10:57,0.0,0.0,0.0
1997-07-05,07:11:31,0.0,0.0,0.0
1997-08-06,07:12:36,0.0,0.0,0.0
1997-08-22,07:13:06,0.0,0.0,0.0
1997-09-07,07:13:34,0.0,0.0,0.0
1997-09-23,07:14:01,0.0,0.0,0.0
1997-10-09,07:14:28,85.0,100.0,0.0
1997-11-10,07:15:19,70.0,47.565176254924715,0.0
1997-12-12,07:16:05,6.0,7.493821776420993,0.0
1997-12-28,07:16:27,81.0,5.685813615991683,0.0117
1998-01-13,07:16:50,16.0,16.0,0.0
1998-01-29,07:17:11,0.0,0.0,0.0
1998-02-14,07:17:31,0.0,0.0,0.0
1998-03-02,07:17:46,0.0,0.0,0.0
1998-03-18,07:18:02,21.0,100.0,0.0
1998-04-03,07:18:13,0.0,0.0,0.0
1998-04-19,07:18:25,0.0,0.0,0.0
1998-05-05,07:18:40,0.0,0.0,0.0
1998-06-06,07:19:10,41.0,100.0,0.0
1998-06-22,07:19:20,0.0,0.0,0.0
1998-07-08,07:19:34,0.0,0.0,0.0
1998-07-24,07:19:42,0.0,0.0,0.0
1998-08-09,07:19:48,1.0,1.0,0.0
1998-08-25,07:19:59,0.0,0.0,0.0
1998-09-10,07:20:06,0.0,0.0,0.0
1998-09-26,07:20:13,0.0,0.0,0.0
1998-10-12,07:20:13,0.0,0.0,0.0
1998-10-28,07:20:16,0.0,0.0,0.0
1998-11-13,07:20:24,0.0,0.0,0.0
1998-11-29,07:20:23,41.0,99.93175003264665,0.0
1998-12-15,07:20:19,0.0,0.0,0.0
1998-12-31,07:20:29,5.0,5.0,0.0
1999-01-16,07:20:22,13.0,60.140417532110725,0.0018
1999-02-01,07:20:28,7.0,7.0,0.0
1999-02-17,07:20:39,1.0,1.0,0.0
1999-03-05,07:20:33,0.0,0.0,0.0
1999-03-21,07:20:19,1.0,1.0,0.0
1999-04-06,07:20:05,0.0,0.0,0.0
