date,time,satellite,water_area_km2
1994-01-25,07:09:37,L5,0.0
1994-10-24,07:03:44,L5,0.0
1995-01-12,07:01:03,L5,0.0
1996-07-09,07:02:26,L5,0.0
1997-04-23,07:15:58,L5,0.0
1997-06-10,07:17:38,L5,0.0
2016-08-09,07:50:59,L7,0.0
2016-08-25,07:51:02,L7,0.0
2016-09-10,07:51:04,L7,0.0
2017-03-05,07:50:29,L7,0.0
2017-04-30,07:47:39,L8,0.0
2017-06-01,07:47:58,L8,0.0
2017-06-09,07:50:57,L7,0.0
2017-06-17,07:48:05,L8,0.0
2017-07-19,07:48:14,L8,0.0
2017-08-28,07:50:59,L7,0.0
2017-09-29,07:50:58,L7,0.0
2018-03-24,07:49:27,L7,0.0
2018-04-09,07:49:12,L7,0.0
2018-04-25,07:48:56,L7,0.0
2018-05-27,07:48:24,L7,0.0
2018-06-12,07:48:07,L7,0.0
2018-06-20,07:47:19,L8,0.0
2018-07-14,07:47:30,L7,0.0
2018-09-16,07:46:16,L7,0.0
2018-09-24,07:48:02,L8,0.0
2019-06-15,07:37:58,L7,0.0
2019-09-03,07:34:46,L7,0.0
2019-11-14,07:48:43,L8,0.0
2020-04-06,07:48:01,L8,0.0
2020-05-16,07:21:48,L7,0.0
2020-06-01,07:20:50,L7,0.0
2020-06-17,07:19:55,L7,0.0
2020-07-27,07:48:18,L8,0.0
2020-09-05,07:14:56,L7,0.0
2021-10-03,08:03:23,Sentinel-2B,0.0
2021-12-07,08:03:22,Sentinel-2A,0.0
2022-03-02,08:03:20,Sentinel-2B,0.0
2023-03-27,08:03:26,Sentinel-2B,0.0
2023-06-10,07:47:46,L9,0.0
2024-01-31,08:03:21,Sentinel-2B,0.0
2024-03-11,08:03:20,Sentinel-2B,0.0
