dam_id,dam_name,latitude,longitude,old_csv_id,storage_capacity_m3,radius
id_030020,Rim,24.062398,39.571199,80_Raym,2918500,1792.698583
id_090023,Al-Halifah,25.917556,40.759946,81_Al-Halifah,2768748,1748.308913
id_110009,Hasidah Al-Sharqiyah,31.244167,37.353333,82_Hasidah_Al-Sharqiyah,2600000,1696.752793
id_070099,Al-Fid,17.999178,43.428686,85_Al-Fayd,2500000,1665.36987
id_010094,Al-Ghil,22.600798,46.459552,87_Al-Ghayl,2500000,1665.36987
id_090032,Al-Wasitah,26.793333,41.733889,83_Al-Wusta,2500000,1665.36987
id_100019,Damh,28.568056,36.000556,84_Dham,2500000,1665.36987
id_120014,Shahdan,17.454776,42.736093,86_Shahdan,2500000,1665.36987
id_010065,Al-Ahmar,22.370833,46.116667,88_Al-Ahmar,2394450,1631.523024
id_020071,Kalakh,21.262717,40.782789,90_Kalakh,2300000,1600.566449
id_110004,Al-Shawihitiyah,30.325442,40.187523,89_Al-Shuwaihatiyah,2300000,1600.566449
id_070098,Dhahban,18.13764,41.641,91_Dhahban,2290000,1597.250191
id_110008,Sarmadah,31.039021,37.612829,92_Sirmada',2284600,1595.456256
id_020065,Al-Mahanad,21.041851,41.608105,93_Al-Muhand,2268859,1590.214219
id_030017,Bidan,23.139667,40.486167,94_Baidhan,2200000,1567.055778
id_070004,Abha,18.209935,42.488654,95_Abha,2130000,1543.120889
id_130020,Tarimah,17.892778,44.095,96_Tarimah,2073500,1523.499731
id_130028,Matarah Al-Qaran,17.756944,43.675833,97_Matart_Al-Qarn,2054425,1516.812286
id_010063,Laban,24.621139,46.605278,108_Laban,2000000,1497.550709
id_010064,Thadiq,25.276489,45.875899,109_Thadiq,2000000,1497.550709
id_030034,Al-Tar'ah,24.015,39.049722,107_Al-Tar'ah,2000000,1497.550709
id_070078,Anam,18.04985,43.227133,103_Anm,2000000,1497.550709
id_080045,Bidah,20.196167,41.401983,111_Baydah,2000000,1497.550709
id_070015,Al-Malik Fahd Al-Jawfi,19.70291889,42.4812239,102_King_Fahd_Al-Jawf,2000000,1497.550709
id_100011,'Afal,28.941389,35.18,100_Afal,2000000,1497.550709
id_070003,Badwah,19.168061,42.164667,101_Badwah,2000000,1497.550709
