elevation_m,area_m2,volume_m3
1124.0,855.5478858390263,0.0
1124.5,855.5478858390263,427.77394291951316
1125.0,855.5478858390263,855.5478858390263
1125.5,855.5478858390263,1283.3218287585396
1126.0,1711.0957716780526,1924.9827431378094
1126.5,3422.1915433561053,3208.304571896349
1127.0,4277.739429195131,5133.287315034158
1127.5,7699.930972551237,8127.70491547075
1128.0,19677.601374297607,14972.088002182962
1128.5,25666.43657517079,26308.097489550062
1129.0,28233.08023268787,39782.97669151473
1129.5,40210.75063443424,56893.93440829525
1130.0,56466.16046537574,81063.16218324774
1130.5,72721.57029631724,113360.09487367098
1131.0,100099.10264316609,156565.2631085418
