elevation_m,area_m2,volume_m3
2041.5,903.3252842346353,0.0
2042.0,903.3252842346353,451.66264211731766
2042.5,903.3252842346353,903.3252842346353
2043.0,903.3252842346353,1354.9879263519529
2043.5,1806.6505684692706,2032.4818895279293
2044.0,1806.6505684692706,2935.8071737625646
2044.5,3613.3011369385413,4290.7951001145175
2045.0,3613.3011369385413,6097.445668583789
2045.5,5419.9517054078115,8355.758879170377
2046.0,6323.276989642447,11291.566052932942
2046.5,8129.927558111718,14904.867189871482
2047.0,9936.57812658099,19421.493611044658
2047.5,10839.903410815623,24615.61399539381
2048.0,12646.553979284894,30487.22834291894
2048.5,12646.553979284894,36810.505332561384
2049.0,14453.204547754165,43585.44496432115
2049.5,19873.15625316198,52167.03516455018
2050.0,20776.481537396612,62329.44461218983
2050.5,20776.481537396612,72717.68538088814
