elevation_m,area_m2,volume_m3
809.5,1722.7328027081141,0.0
810.0,2584.0992040621713,1076.7080016925713
810.5,3445.4656054162283,2584.0992040621713
811.0,7752.297612186514,5383.540008462856
811.5,15504.595224373028,11197.763217602742
812.0,29286.45764603794,22395.526435205484
812.5,40484.22086364068,39838.19606262514
813.0,55127.44968665965,63741.11370020022
813.5,71493.41131238674,95396.32894996181
814.0,92166.20494488411,136311.2330142795
814.5,110254.8993733193,186916.50909383036
815.0,115423.09778144365,243336.0083825211
