elevation_m,area_m2,volume_m3
830.0,0.0,0.0
830.5,2615.3496517490994,653.8374129372748
831.0,5230.699303498199,2615.3496517490994
831.5,7846.048955247298,5884.536716435474
832.0,13948.531475995196,11333.181824246098
832.5,24409.930082991592,20922.797213992795
833.0,33999.54547273829,35525.166102925265
833.5,48819.860165983184,56230.017512605635
834.0,71486.22381447538,86306.53850772028
834.5,83691.18885597118,125100.89167533192
835.0,106357.55250446337,172613.07701544056
835.5,119434.30076320887,229061.04033235862
836.0,139485.31475995196,293790.94421314885
836.5,175228.42666718966,372469.3795699342
837.0,218817.58752967464,470980.8831191503
837.5,271124.58056465664,593466.4251427331
838.0,336508.3218583841,745374.6507484934
838.5,420199.5107143553,934551.6088916783
839.0,489942.1680943313,1162087.0285938499
839.5,567530.8744295546,1426455.2892248214
840.0,659068.112240773,1733105.0358924032
