elevation_m,area_m2,volume_m3
2298.33544921875,905.5551817687425,0.0
2298.83544921875,2716.6655453062276,905.5551817687425
2299.33544921875,2716.6655453062276,2263.887954421856
2299.83544921875,3622.22072707497,3848.6095225171557
2300.33544921875,3622.22072707497,5659.7198860546405
2300.83544921875,6338.886272381197,8149.996635918682
2301.33544921875,9961.106999456168,12224.994953878024
2301.83544921875,11772.217362993653,17658.32604449048
2302.33544921875,15394.438090068623,24449.989907756048
2302.83544921875,17205.54845360611,32599.98654367473
2303.33544921875,18111.10363537485,41429.14956591997
