elevation_m,area_m2,volume_m3
914.6454467773438,876.7582397217012,0.0
915.1454467773438,3507.032958886805,1095.9477996521266
915.6454467773438,5260.5494383302075,3287.84339895638
916.1454467773438,12274.615356103817,7671.6345975648865
916.6454467773438,21918.95599304253,16220.027434851472
917.1454467773438,38577.362547754856,31344.10707005082
917.6454467773438,54359.010862745476,54578.2004226759
918.1454467773438,87675.82397217012,90086.9091314048
918.6454467773438,114855.32940354286,140719.69747533306
919.1454467773438,147295.3842732458,206257.3758945302
919.6454467773438,175351.64794434025,286919.1339489267
920.1454467773438,194640.32921821767,379417.12823956617
920.6454467773438,207791.70281404318,480025.1362476314
