elevation_m,area_m2,volume_m3
702.0,0.0,0.0
702.5,1664.790252197916,416.197563049479
703.0,2497.185378296874,1456.6914706731766
703.5,4994.370756593748,3329.5805043958326
704.0,5826.765882692706,6034.864664217446
704.5,9156.346387088539,9780.642731662758
705.0,16647.902521979162,16231.704958929684
705.5,21642.27327857291,25804.2489090677
706.0,28301.434287364573,38290.17580055207
706.5,42452.15143104686,55978.572230154925
707.0,65759.21496181768,83031.41382837106
707.5,83239.5126098958,120281.09572129944
708.0,114038.13227555725,169600.5069426627
708.5,149831.12269781245,235567.8206860051
709.0,202272.0156420468,323593.6052709699
709.5,228908.65967721347,431388.77410078497
710.0,259707.2793428749,553542.7588558071
710.5,286343.92337804154,690055.5595360362
711.0,313812.9625393072,840094.7810153734
711.5,337952.42119617696,1003036.1269492444
712.0,391225.70926651027,1185330.6595649163
712.5,419527.14355387486,1388018.8727700126
