elevation_m,area_m2,volume_m3
1268.0,0.0,0.0
1268.5,886.4767557442651,221.61918893606628
1269.0,1772.9535114885302,886.4767557442651
1269.5,1772.9535114885302,1772.9535114885302
1270.0,1772.9535114885302,2659.4302672327954
1270.5,2659.4302672327954,3767.5262119131266
1271.0,3545.9070229770605,5318.860534465591
1271.5,5318.860534465591,7535.052423826253
1272.0,5318.860534465591,10194.48269105905
1272.5,8864.76755744265,13740.38971403611
1273.0,8864.76755744265,18172.773492757435
1273.5,8864.76755744265,22605.15727147876
1274.0,10637.721068931181,27480.77942807222
1274.5,12410.674580419713,33242.878340409945
1275.0,12410.674580419713,39448.2156306198
1275.5,12410.674580419713,45653.55292082966
1276.0,15070.104847652507,52523.74777784771
1276.5,15070.104847652507,60058.80020167396
1277.0,15956.581603396771,67815.47181443629
1277.5,18616.01187062957,76458.62018294288
1278.0,19502.488626373834,85988.24530719372
1278.5,21275.442137862363,96182.72799825277
1279.0,21275.442137862363,106820.44906718394
1279.5,23048.395649350892,117901.40851398726
1280.0,23048.395649350892,129425.6063386627
1280.5,25707.82591658369,141614.66173014636
1281.0,26594.302672327954,154690.19387737426
1281.5,27480.77942807222,168208.9644024743
