elevation_m,area_m2,volume_m3
2115.5,905.0354207561535,0.0
2116.0,905.0354207561535,452.51771037807674
2116.5,1810.070841512307,1131.2942759451919
2117.0,1810.070841512307,2036.3296967013453
2117.5,3620.141683024614,3393.8828278355754
2118.0,6335.247945293075,5882.730234914998
2118.5,8145.318786805381,9502.871917939612
2119.0,8145.318786805381,13575.531311342304
2119.5,9955.38962831769,18100.70841512307
2120.0,14480.566732098456,24209.69750522711
2120.5,19005.743835879224,32581.275147221528
2121.0,20815.81467739153,42536.66477553922
2121.5,25340.9917811723,54075.86639018018
2122.0,28961.13346419691,67651.39770152248
2122.5,41631.62935478306,85299.58840626747
2123.0,48871.91272083229,107925.4739251713
2123.5,62447.44403217459,135755.31311342304
2124.0,83263.25870956611,172182.98879885822
2124.5,88693.47123410304,215172.1712847755
