elevation_m,area_m2,volume_m3
822.0,903.7988251157285,0.0
822.5,1807.597650231457,677.8491188367964
823.0,1807.597650231457,1581.6479439525249
823.5,2711.3964753471855,2711.3964753471855
824.0,5422.792950694371,4744.943831857575
824.5,6326.5917758100995,7682.290013483693
825.0,7230.390600925828,11071.535607667674
825.5,13556.982376735927,16268.378852083113
826.0,15364.580026967385,23498.769453008943
826.5,16268.378852083113,31407.00917277157
827.0,23498.769453008943,41348.796249044586
827.5,24402.56827812467,53324.130681827985
828.0,29825.36122881904,66881.1130585639
828.5,35248.15417951341,83149.49191064702
829.0,41574.74595532351,102355.21694435625
829.5,45189.94125578643,124046.38874713372
830.0,50612.734206480796,147997.05761270053
830.5,53324.130681827985,173981.27383477773
