elevation_m,area_m2,volume_m3
960.5,3517.0045376405947,0.0
961.0,4396.255672050744,1978.3150524228345
961.5,7034.009075281189,4835.8812392558175
962.0,10551.013612921784,9232.136911306561
962.5,24619.031763484163,18024.64825540805
963.0,35170.04537640595,32971.91754038058
963.5,45721.05898932773,53194.693631814
964.0,54513.57033342922,78253.35096250323
964.5,67702.33734958144,108807.3278832559
965.0,80891.10436573367,145955.68831208468
965.5,96717.62478511635,190357.87059979717
966.0,119578.15427978022,244431.8153660213
966.5,157385.9530594166,313672.8422008205
967.0,180246.4825540805,398080.9511041948
967.5,213658.02566166612,496557.07815813145
968.0,264654.5914574547,616135.2324379117
