elevation_m,area_m2,volume_m3
1132.5,0.0,0.0
1133.0,2646.4502405532357,661.6125601383089
1133.5,3528.600320737648,2205.3752004610296
1134.0,7939.350721659708,5072.362961060368
1134.5,11467.951042397355,9924.188402074633
1135.0,13232.25120276618,16099.238963365517
1135.5,14996.551363135004,23156.439604840813
1136.0,22935.90208479471,32639.55296682324
1136.5,27346.65248571677,45210.19160945111
1137.0,30875.25280645442,59765.66793249391
1137.5,38814.60352811413,77188.13201613605
1138.0,40578.903688482955,97036.50882028532
1138.5,44989.65408940501,118428.64826475731
1139.0,49400.40449032707,142026.16290969035
1139.5,56457.60513180237,168490.6653152227
1140.0,65279.10593364649,198924.8430815849
1140.5,82922.10753733473,235975.1464493302
1141.0,91743.60833917884,279641.5754184586
1141.5,102329.40930139179,328159.8298286013
1142.0,114679.51042397355,382412.0597599426
1142.5,122618.86114563327,441736.6526523443
1143.0,132322.5120276618,505471.9959456681
1143.5,148201.21347098122,575602.9273203288
1144.0,158787.01443319416,652349.9842963726
1144.5,165844.21507466945,733507.7916733385
1145.0,176430.01603688239,819076.3494512264
1145.5,182605.0665981733,908835.1201099904
1146.0,194073.01764057064,1003004.6411696763
1146.5,202012.36836223034,1102025.9876703767
