elevation_m,area_m2,volume_m3
988.5,1704.071212644562,0.0
989.0,3408.142425289124,1278.0534094834215
989.5,5112.213637933686,3408.1424252891243
990.0,9372.39166954509,7029.293752158818
990.5,12780.534094834215,12567.525193253645
991.0,17892.7477327679,20235.845650154173
991.5,23004.961370701585,30460.272926021546
992.0,34933.45985921352,44944.87823350032
992.5,52826.207591981416,66884.79509629906
993.0,75831.168962683,99049.13923496517
993.5,112468.70003454109,146124.10648427118
994.0,130361.44776730899,206831.6434347337
994.5,156774.5515632997,278615.6432673859
995.0,187447.8333909018,364671.2395059363
995.5,201080.40309205832,461803.2986266763
