elevation_m,area_m2,volume_m3
2190.1845703125,891.5487692398619,0.0
2190.6845703125,891.5487692398619,445.77438461993097
2191.1845703125,891.5487692398619,891.5487692398619
2191.6845703125,891.5487692398619,1337.323153859793
2192.1845703125,1783.0975384797239,2005.9847307896894
2192.6845703125,1783.0975384797239,2897.5335000295513
2193.1845703125,2674.646307719586,4011.9694615793787
2193.6845703125,3566.1950769594478,5572.179807749137
2194.1845703125,3566.1950769594478,7355.277346228861
2194.6845703125,5349.292615439172,9584.149269328514
2195.1845703125,5349.292615439172,12258.7955770481
2195.6845703125,7132.3901539188955,15379.216269387616
2196.1845703125,8915.48769239862,19391.185730966994
2196.6845703125,10698.585230878343,24294.703961786236
2197.1845703125,10698.585230878343,29643.996577225407
2197.6845703125,11590.134000118205,35216.17638497455
2198.1845703125,12481.682769358067,41234.13057734362
2198.6845703125,14264.780307837791,47920.74634664258
2199.1845703125,16047.877846317515,55498.91088518141
2199.6845703125,16047.877846317515,63522.849808340165
2200.1845703125,16939.42661555738,71769.67592380889
2200.6845703125,18722.5241540371,80685.1636162075
2201.1845703125,19614.072923276963,90269.31288553601
2201.6845703125,20505.621692516826,100299.23653948447
2202.1845703125,23180.26800023641,111220.70896267277
2202.6845703125,24071.816769476274,123033.73015510094
2203.1845703125,24963.365538716134,135292.52573214905
2203.6845703125,24963.365538716134,147774.20850150712
2204.1845703125,24963.365538716134,160255.8912708652
2204.6845703125,26746.46307719586,173183.3484248432
2205.1845703125,28529.560615675582,187002.35434806105
2205.6845703125,28529.560615675582,201267.13465589884
2206.1845703125,30312.658154155306,215977.68934835657
