elevation_m,area_m2,volume_m3
1802.0,0.0,0.0
1802.5,892.4686462853275,223.11716157133188
1803.0,2677.4059388559826,1115.5858078566594
1803.5,3569.87458514131,2677.4059388559826
1804.0,6247.280523997292,5131.694716140633
1804.5,8032.217816567948,8701.569301281943
1805.0,13387.029694279912,14056.381178993908
1805.5,19634.310218277205,22311.71615713319
1806.0,26774.059388559825,33913.808558842444
1806.5,33021.339912557116,48862.65838412168
1807.0,41946.026375410394,67604.49995611355
1807.5,47300.83825312236,89916.21611324674
1808.0,51763.18148454899,114682.22104766459
1808.5,59795.399301116944,142571.86624408106
1809.0,64257.74253254358,173585.1517024962
1809.5,74074.89764168218,208168.31174605264
1810.0,85676.99004339144,248106.28366732105
1810.5,95494.14515253004,293399.06746630144
1811.0,103526.36296909799,343154.19449670846
