elevation_m,area_m2,volume_m3
1884.5,0.0,0.0
1885.0,903.8218427606625,225.95546069016564
1885.5,903.8218427606625,677.8663820704969
1886.0,3615.28737104265,1807.643685521325
1886.5,3615.28737104265,3615.28737104265
1887.0,7230.5747420853,6326.752899324638
1887.5,7230.5747420853,9942.040270367288
1888.0,8134.396584845963,13783.283102100104
1888.5,9942.040270367288,18302.392315903417
1889.0,11749.683955888613,23725.323372467392
1889.5,13557.327641409938,30052.07627179203
1890.0,14461.1494841706,37056.695553187164
1890.5,18076.43685521325,45191.09213803313
1891.0,18980.258697973914,54455.26602632992
1891.5,22595.546069016564,64849.21721807754
1892.0,23499.367911777226,76372.94571327599
1892.5,27114.655282819876,89026.45151192526
1893.0,28922.2989683412,103035.69007471553
1893.5,29826.120811101864,117722.7950195763
1894.0,32537.58633938385,133313.72180719773
1894.5,35249.05186766584,150260.38135896015
1895.0,37960.51739594783,168562.77367486357
1895.5,40671.982924229815,188220.89875490798
1896.0,43383.4484525118,209234.75659909338
1896.5,44287.270295272465,231152.43628603945
1897.0,46094.91398079379,253747.982355056
1897.5,47902.557666315115,277247.3502668332
1898.0,50614.0231945971,301876.4954820613
1898.5,56036.95425116108,328539.23984350084
1899.0,59652.24162220373,357461.53881184204
1899.5,64171.35083600704,388417.4369263947
1900.0,75017.21294913499,423214.5778726802
