elevation_m,area_m2,volume_m3
2173.0,0.0,0.0
2173.5,902.0693811146097,225.5173452786524
2174.0,902.0693811146097,676.5520358359572
2174.5,1804.1387622292193,1353.1040716719144
2175.0,1804.1387622292193,2255.173452786524
2175.5,1804.1387622292193,3157.242833901134
2176.0,6314.485667802268,5186.898941409006
2176.5,7216.555048916877,8569.659120588793
2177.0,9922.763192260707,12854.488680883189
2177.5,9922.763192260707,17815.870277013542
2178.0,10824.832573375315,23002.76921842255
2178.5,11726.901954489926,28640.702850388858
2179.0,13531.040716719144,34955.18851819113
2179.5,14433.110097833754,41946.226221829354
2180.0,17139.318241177585,49839.33330658219
2180.5,18943.457003406802,58860.02711772829
2181.0,24355.87329009446,69684.8596911036
2181.5,27964.1508145529,82764.86571726543
2182.0,29768.289576782117,97197.97581509918
2182.5,31572.428339011338,112533.15529404755
2183.0,35180.705863469775,129221.43884466783
2183.5,40593.12215015743,148164.89584807464
2184.0,44201.399674615874,169363.52630426796
2184.5,46907.6078179597,192140.77817741185
2185.0,51417.95472353275,216722.16881278495
2185.5,55928.3016291058,243558.7329009446
2186.0,60438.64853467885,272650.47044189076
