elevation_m,area_m2,volume_m3
893.0,3465.239399865884,0.0
893.5,3465.239399865884,1732.619699932942
894.0,7796.788649698239,4548.126712323973
894.5,12128.337899530594,9529.408349631181
895.0,23390.365949094718,18409.084311787512
895.5,25122.985649027658,30537.422211318106
896.0,38983.943248491196,46564.15443569782
896.5,45048.112198256495,67572.16829738475
897.0,55443.830397854144,92695.1539464124
897.5,67572.16829738473,123449.15362022212
898.0,84898.36529671415,161566.78701874684
898.5,98759.32289617769,207481.2090669698
899.0,116951.82974547359,261408.9972273826
899.5,140342.1956945683,325732.5035873931
