elevation_m,area_m2,volume_m3
2272.0,0.0,0.0
2272.5,1801.0139991881308,450.2534997970327
2273.0,3602.0279983762616,1801.0139991881308
2273.5,3602.0279983762616,3602.0279983762616
2274.0,3602.0279983762616,5403.041997564393
2274.5,3602.0279983762616,7204.055996752523
2275.0,3602.0279983762616,9005.069995940654
2275.5,5403.041997564393,11256.337494925818
2276.0,7204.055996752523,14408.111993505046
2276.5,9005.069995940654,18460.39349167834
2277.0,9905.576995534719,23188.055239547182
2277.5,9905.576995534719,28140.843737314543
2278.0,11706.59099472285,33543.88573487893
2278.5,11706.59099472285,39397.18123224036
2279.0,11706.59099472285,45250.47672960178
2279.5,12607.097994316915,51328.898976861725
2280.0,13507.604993910982,57857.5747239187
2280.5,13507.604993910982,64611.37722087419
2281.0,13507.604993910982,71365.17971782968
2281.5,15308.618993099111,78569.2357145822
2282.0,18010.139991881308,86898.9254608273
2282.5,20711.660990663506,96579.3757064635
2283.0,21612.16799025757,107160.33295169377
2283.5,22512.674989851635,118191.54369672107
2284.0,22512.674989851635,129447.88119164688
2284.5,24313.688989039765,141154.47218636973
2285.0,24313.688989039765,153311.3166808896
2285.5,26114.7029882279,165918.41467520653
2286.0,29716.730986604158,179876.27316891454
2286.5,31517.744985792287,195184.89216201365
2287.0,32418.251985386356,211168.89140480832
2287.5,32418.251985386356,227378.0173975015
2288.0,34219.265984574486,244037.3968899917
2288.5,36020.279983762615,261597.28338207598
2289.0,36920.78698335668,279832.5501238558
2289.5,40522.81498173295,299193.4506151282
2290.0,41423.32198132701,319679.9848558932
2290.5,42323.82898092108,340616.7725964552
2291.0,44124.842980109206,362228.94058671274
2291.5,49527.884977673595,385642.12257615844
2292.0,51328.898976861725,410856.3185647923
2292.5,53129.91297604986,436971.02155302017
2293.0,54930.92697523799,463986.23154084216
2293.5,54930.92697523799,491451.69502846117
2294.0,58532.95497361425,519817.6655156742
2294.5,61234.475972396445,549759.5232521769
2295.0,61234.475972396445,580376.7612383752
2295.5,62134.98297199051,611219.1259744719
2296.0,63935.99697117865,642736.8709602642
2296.5,64836.50397077271,674929.996195752
2297.0,66637.51796996084,707798.5016809355
2297.5,69339.03896874304,741792.6409156115
2298.0,70239.5459683371,776687.2871498816
2298.5,70239.5459683371,811807.0601340502
2299.0,72040.55996752523,847377.0866180158
2299.5,74742.08096630743,884072.7468514739
2300.0,74742.08096630743,921443.7873346277
2300.5,76543.09496549556,959265.0813175784
2301.0,81045.6299634659,998662.2625498188
