elevation_m,area_m2,volume_m3
734.0,0.0,0.0
734.5,1743.4254462192553,435.8563615548138
735.0,3486.8508924385105,1743.4254462192553
735.5,3486.8508924385105,3486.8508924385105
736.0,5230.276338657766,5666.13270021258
736.5,6973.701784877021,8717.127231096278
737.0,8717.127231096276,12639.834485089603
737.5,12203.978123534787,17870.110823747367
738.0,20921.105354631065,26151.38169328883
738.5,31381.658031946594,39227.072539933244
739.0,40970.4979861525,57315.11154445802
739.5,57533.03972523542,81940.995972305
740.0,75839.0069105376,115284.00763124826
740.5,127270.05757400564,166061.27375238406
741.0,175214.25734503515,241682.35248214426
741.5,223158.45711606467,341275.5310974192
742.0,287665.1986261771,468981.44503297965
742.5,348685.0892438511,628069.0170004867
743.0,432369.5106623753,823332.6669770433
743.5,491645.97583382996,1054336.5386010946
744.0,589277.8008221083,1324567.4827650792
744.5,672962.2222406325,1640127.4885307644
745.0,740955.8146431835,1993606.9977517184
745.5,813307.9706612825,2382172.944077835
746.0,873456.1485558469,2803863.9738821173
746.5,930117.4755579727,3254757.3799105724
