elevation_m,area_m2,volume_m3
2165.5,906.1904584576258,0.0
2166.0,1812.3809169152516,679.6428438432193
2166.5,2718.5713753728774,1812.3809169152514
2167.0,6343.333209203381,4077.857063059316
2167.5,9061.904584576258,7929.166511504225
2168.0,18123.809169152515,14725.594949936418
2168.5,22654.761461440645,24920.237607584706
2169.0,27185.713753728774,37380.35641137706
2169.5,29904.285129101652,51652.85613208467
2170.0,46215.713381338915,70682.85575969481
2170.5,53465.23704899992,95603.09336727952
2171.0,69776.66530123718,126413.56895483879
2171.5,84275.7126365592,164926.6634392879
2172.0,105118.0931810846,212275.11489369883
2172.5,115086.18822411848,267326.1852449996
2173.0,142271.90197784724,331665.70779549103
2173.5,148615.23518705062,404387.49208671553
2174.0,165832.85389774552,482999.51435791457
2174.5,172176.1871069489,567501.7746090882
