elevation_m,area_m2,volume_m3
1495.0,899.0967833273326,0.0
1495.5,899.0967833273326,449.5483916636663
1496.0,2697.2903499819977,1348.6451749909988
1496.5,3596.3871333093302,2922.0645458138306
1497.0,11688.258183255322,6743.225874954994
1497.5,15284.645316564653,13486.451749909987
1498.0,21578.32279985598,22702.193779015146
1498.5,29670.193849801974,35514.32294142964
1499.0,35963.8713330933,51922.83923715346
1499.5,40459.35524972997,71028.64588285927
1500.0,47652.12951634863,93056.51707437892
1500.5,52147.61343298529,118006.4528117124
1501.0,53945.80699963996,144529.8079198687
1501.5,60239.48448293128,173076.13079051152
1502.0,66533.16196622261,204769.2924028
1502.5,71927.7426661866,239384.5185609023
1503.0,82716.9040661146,278045.6802439776
1503.5,90808.77511606058,321427.10003952135
1504.0,95304.25903269726,367955.3585767108
1504.5,98001.54938267925,416281.81068055495
1505.0,105194.3236492979,467080.7789385492
1505.5,114185.29148257124,521925.6827215165
1506.0,115983.4850492259,579467.8768544658
1506.5,125873.54966582656,639932.135533229
1507.0,130369.03358246322,703992.7813453014
1507.5,135763.6142824272,770525.943311524
1508.0,144754.58211570056,840655.492411056
1508.5,153745.54994897387,915280.5254272246
1509.0,161837.42099891987,994176.268164198
1509.5,169030.19526553852,1076893.1722303126
1510.0,178920.2598821392,1163880.786017232
1510.5,187911.2277154125,1255588.65791662
1511.0,196003.0987653585,1351567.2395368128
1511.5,206792.26016528648,1452266.079269474
1512.0,214884.13121523248,1557685.1771146036
1512.5,219379.61513186916,1666251.113701379
1513.0,224774.19583183315,1777289.5664423045
1513.5,228370.58296514247,1890575.7611415484
1514.0,235563.35723176113,2006559.2461907743
