dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_080050,Athal,اثال,20.325167,41.057072,Al-Bahah,Al-Hajrah,Wadi Al-Khurma Basin,,concrete,completed,recharge,recharge,161.0,16.0,13.0,113000,2014
id_080051,Al-Hadim,الهضيم,20.288056,41.396111,Al-Bahah,Al-Qura,Wadi Al-Khurma Basin,rainfall_area,concrete,completed,recharge,recharge,120.0,16.0,13.0,310000,2014
id_080052,Al Sarawar,ال سرور,20.20739,41.332782,Al-Bahah,Al-Qura,Wadi Al-Khurma Basin,rainfall_area,concrete,completed,recharge,recharge,164.0,15.0,12.0,72244,2018
id_080053,Shada Nira,شدا نيرا,19.758333,41.334444,Al-Bahah,Al-Makhwah,Wadi Al-Khurma Basin,,concrete,completed,recharge,recharge,217.0,15.0,13.0,884446,2010
id_080054,Al-Madarah,المدره,20.231389,41.39,Al-Bahah,Al-Qura,Wadi Al-Khurma Basin,rainfall_area,concrete,completed,recharge,recharge,74.0,19.0,14.0,157509,2020
id_080055,Al-Hamirah (Al-Salasil),الحميراء (السلاسل),19.647222,41.231111,Al-Bahah,Al-Makhwah,Wadi Al-Khurma Basin,,concrete,completed,recharge,protection,137.0,14.0,9.0,531187,2020
id_080056,Al-Nusabah,النصبة,19.623056,41.46,Al-Bahah,Farat Ghamid Al-Zinad,Wadi Al-Khurma Basin,,concrete,completed,recharge,recharge,116.0,13.0,9.0,80311,2020
id_090000,Al-Juwi'diyah,الجويعيدية,26.776389,41.638333,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,263.0,6.5,3.5,109000,2010
id_090001,Aqadah,عقده,27.5325,41.596111,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,100.0,7.0,4.5,100000,1976
id_090002,Al-Sahwah,الصهوة,27.145556,41.176111,Hail,Mawqaq,Wadi Arar Basin,,earthfill,completed,recharge,recharge,220.0,8.0,4.0,141260,2009
id_090003,Al-Sada'iyah,الصداعية,26.827222,41.468889,Hail,Al-Ghazalah,Wadi Arar Basin,,earthfill,completed,recharge,recharge,308.0,4.0,2.0,105728,2009
id_090004,Al-Ratiq,الرتيق,27.306389,41.2775,Hail,Mawqaq,Wadi Arar Basin,,concrete,completed,recharge,protection,40.0,12.0,9.5,106000,2003
id_090005,Taba,طابا,27.018056,42.102222,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,protection,480.0,6.0,3.5,154383,2012
id_090006,Tawarin,توارن,27.576056,41.44,Hail,Mawqaq,Wadi Arar Basin,,concrete,completed,recharge,recharge,75.0,7.0,4.0,120000,1983
id_090007,Al-Jahifah,الجحفه,27.106944,42.168333,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,protection,280.0,6.0,3.5,493200,2007
id_090008,Al-Mudih,المضيح,26.883889,42.041111,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,recharge,340.0,5.0,3.0,107662,2008
id_090009,Fayd,فيد,27.108333,42.474444,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,recharge,559.0,7.0,4.5,167467,2011
id_090010,Aqalat Bin Jabrin,عقلة بن جبرين,27.076944,41.275556,Hail,Mawqaq,Wadi Arar Basin,,earthfill,completed,recharge,recharge,361.0,7.0,4.0,714614,2011
id_090011,Al-Salaf,السلف,27.428694,41.520639,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,220.0,7.0,2.5,150000,1976
id_090012,Al-Raqab,الرقب,25.712162,41.075278,Hail,Al-Hait,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,450.0,5.0,2.5,159750,2013
id_090013,Saqiyat Fayd,ساقيه فيد,27.144722,42.454444,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,protection,400.0,5.0,3.0,180000,1984
id_090015,Nuqbayn,نقبين,27.620833,41.614028,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,200.0,7.5,5.0,230000,1983
id_090016,Al-Sir,الصر,27.371783,41.4362,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,65.0,12.5,8.0,250000,1982
id_090017,Ghamrah,غمرة,26.591667,42.311667,Hail,Samirah,Wadi Arar Basin,,earthfill,completed,recharge,recharge,350.0,6.0,3.5,250000,2003
id_090018,Samirahh,سميراء,26.580278,42.181111,Hail,Samirah,Wadi Arar Basin,,earthfill,completed,recharge,protection,810.0,5.5,3.5,787228,2010
id_090019,Al-Radafin,الرضفين,27.2675,41.228611,Hail,Mawqaq,Wadi Arar Basin,,earthfill,completed,recharge,recharge,245.0,8.0,4.0,300000,2002
id_090020,Al-Hawidah,الهويدى,27.072567,41.3408,Hail,Al-Ghazalah,Wadi Arar Basin,,earthfill,completed,recharge,protection,250.0,6.0,3.0,360000,1983
id_090021,Al-Shinan,الشنان,27.147317,42.344858,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,protection,220.0,9.0,5.5,446568,2007
id_090022,Al-Bar,البار,27.387,41.500314,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,90.0,7.0,6.5,500000,1981
id_090023,Al-Halifah,الحليفة,25.917556,40.759946,Hail,Al-Hait,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,500.0,6.0,3.5,2768748,2012
id_090024,Al-Sab'an,السبعان,26.995,41.943333,Hail,Al-Shinan,Wadi Arar Basin,,earthfill,completed,recharge,protection,218.0,7.0,4.5,630351,2010
id_090025,Saqf,سقف,26.960556,41.084167,Hail,Al-Ghazalah,Wadi Arar Basin,,concrete,completed,recharge,recharge,127.0,7.0,4.0,600000,2009
id_090026,Watadah,وتده,26.271415,42.086535,Hail,Samirah,Wadi Arar Basin,,earthfill,completed,recharge,recharge,366.0,6.0,3.5,649943,2010
id_090027,Al-Salimah,السليمى,26.30225,41.349267,Hail,Al-Sulimi,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,800.0,6.0,3.5,1000000,1989
id_090028,Dalihan,دليهان,27.278333,40.991389,Hail,Mawqaq,Wadi Arar Basin,,earthfill,completed,recharge,recharge,170.0,5.5,3.0,1000000,2008
