date,time,satellite,water_area_km2
2013-01-25,07:20:14,L7,0.0
2013-02-10,07:20:15,L7,0.0
2013-03-14,07:20:10,L7,0.0
2013-06-02,07:19:46,L7,0.0
2013-06-18,07:19:41,L7,0.0
2013-07-04,07:19:32,L7,0.0
2013-09-22,07:19:45,L7,0.0
2013-10-24,07:20:06,L7,0.0
2013-12-11,07:20:24,L7,0.0
2013-12-27,07:20:27,L7,0.0
2014-02-13,07:20:50,L7,0.0
2014-03-01,07:20:47,L7,0.0
2014-03-17,07:20:55,L7,0.0
2014-05-04,07:21:16,L7,0.0
2014-05-20,07:21:24,L7,0.0
2014-07-23,07:21:37,L7,0.0
2014-08-08,07:21:42,L7,0.0
2014-08-24,07:21:40,L7,0.0
2014-10-27,07:22:09,L7,0.0
2014-11-12,07:22:18,L7,0.0
2014-12-14,07:22:31,L7,0.0
2014-12-30,07:22:32,L7,0.0
2015-01-15,07:22:37,L7,0.0
2015-03-04,07:22:55,L7,0.0
2015-04-05,07:23:10,L7,0.0198
2015-04-21,07:23:16,L7,0.0009
2015-06-08,07:23:37,L7,0.0
2015-07-10,07:23:45,L7,0.0
2015-07-26,07:23:48,L7,0.0
2015-08-11,07:23:52,L7,0.0
2015-08-27,07:23:53,L7,0.0
2015-09-28,07:24:01,L7,0.0
2015-10-14,07:24:14,L7,0.0
2015-10-30,07:24:28,L7,0.0
2015-11-15,07:24:45,L7,0.0
2016-01-18,07:25:43,L7,0.0666211764705882
2016-02-19,07:25:55,L7,0.0072
2016-03-22,07:26:11,L7,0.0
2016-04-07,07:26:14,L7,0.0279
2016-05-25,07:26:30,L7,0.0
2016-06-26,07:26:36,L7,0.0
2016-08-13,07:26:40,L7,0.0
2016-08-29,07:26:43,L7,0.0
2016-09-14,07:26:45,L7,0.0
2016-09-30,07:26:48,L7,0.0
2016-10-16,07:26:47,L7,0.0
2016-11-01,07:26:42,L7,0.0
2016-11-17,07:26:34,L7,0.0
2016-12-03,07:26:33,L7,0.0
2016-12-19,07:26:27,L7,0.0
2017-01-04,07:26:18,L7,0.0
2017-01-20,07:26:08,L7,0.0
