date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1984-04-26,07:21:42,11.0,11.0,0.0
1984-05-28,07:22:30,0.0,0.0,0.0
1984-06-29,07:23:02,0.0,0.0,0.0
1984-09-01,07:24:36,0.0,0.0,0.0
1985-04-13,07:24:51,43.0,100.0,0.3608152941176471
1985-11-07,07:23:12,1.0,1.0,0.0099
1986-01-10,07:22:02,0.0,0.0,0.09163764705882352
1986-02-11,07:21:19,0.0,0.0,0.0234
1986-09-07,07:15:20,0.0,0.0,0.0009
1986-11-26,07:12:47,0.0,0.0,0.0297
1986-12-28,07:13:44,35.0,21.447988544182785,0.0108
1987-01-13,07:14:12,40.0,40.0,0.049337647058823535
1987-01-29,07:14:40,0.0,0.025079270163733194,0.0207
1987-02-14,07:15:18,20.0,20.0,0.0
1987-03-18,07:16:31,0.0,0.0,0.0
1987-06-22,07:19:16,0.0,0.0,0.0
1987-07-08,07:19:35,0.0,0.0,0.0
1987-07-24,07:19:55,0.0,0.0,0.0
1987-08-09,07:20:25,6.0,6.0,0.0621
1987-10-12,07:21:57,1.0,1.0,0.0
1987-11-29,07:22:52,1.0,1.0,0.0315
1987-12-31,07:23:22,0.0,0.0,0.10783764705882352
1988-01-16,07:23:38,1.0,1.0,0.08893764705882352
1988-02-01,07:23:56,11.0,11.0,0.0099
1988-02-17,07:24:11,16.0,16.0,1.1294223529411767
1988-03-20,07:24:31,0.0,0.0,0.0
1988-04-05,07:24:38,0.0,0.0,0.0
1988-05-07,07:24:51,66.0,100.0,0.0
1988-05-23,07:24:59,0.0,0.0,0.0
1988-06-08,07:25:04,0.0,0.0,0.0
1988-07-10,07:25:14,0.0,0.0,0.0
1988-07-26,07:25:17,0.0,0.0,0.0
1988-08-11,07:25:15,3.0,37.040410080489686,0.0
1988-08-27,07:25:20,0.0,0.0,0.0
1988-09-12,07:25:19,3.0,3.0,0.0
1988-09-28,07:25:10,4.0,4.0,0.0
1988-10-30,07:25:08,0.0,0.0,0.0045
1988-11-15,07:25:08,0.0,0.0,0.0045
1988-12-01,07:25:07,0.0,0.0,0.0216
1988-12-17,07:24:53,72.0,100.0,0.004468235294117647
1989-02-19,07:24:30,44.0,87.27792552145208,0.0
1989-03-23,07:23:28,0.0,0.0,0.0
1989-04-08,07:23:41,0.0,0.0,0.0
1989-04-24,07:23:24,0.0,0.0,0.0234
1989-05-10,07:23:12,31.0,100.0,0.02372823529411765
1989-06-11,07:22:36,0.0,0.0,0.0027
1989-06-27,07:22:17,0.0,0.0,0.0
1989-07-13,07:21:57,2.0,2.0,0.0
1989-07-29,07:21:39,1.0,1.0,0.0009
1989-08-14,07:21:16,0.0,0.0,0.0
1989-08-30,07:20:57,19.0,19.0,0.1098
1989-10-01,07:20:14,1.0,1.0,0.0
1989-10-17,07:19:36,0.0,0.0,0.0
1989-12-20,07:17:52,4.0,4.0,0.0657
1990-01-21,07:16:52,0.0,0.0,0.0369
1990-02-06,07:16:20,3.0,3.0,0.04123764705882353
1990-02-22,07:15:50,7.0,7.0,0.0135
1990-03-10,07:15:16,65.0,100.0,0.06525882352941177
1990-04-11,07:14:43,0.0,0.0,0.0
1990-05-13,07:14:48,0.0,0.0,0.0189
1990-05-29,07:14:44,8.0,8.0,0.0198
