date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1993-03-27,07:10:33,0.0,0.0,0.029675294117647064
1993-04-28,07:10:48,0.0,0.0,0.0144
1993-05-30,07:10:54,19.0,19.0,0.0
1993-06-15,07:10:53,0.0,0.0,0.0
1993-07-01,07:10:45,0.0,0.0,0.0
1993-07-17,07:10:46,0.0,0.0,0.0
1993-08-02,07:10:46,0.0,0.0,0.39277411764705883
1993-10-21,07:10:30,68.0,100.0,0.0
1993-11-06,07:10:25,0.0,0.0,0.07982117647058826
1993-11-22,07:10:17,5.0,5.0,0.0324
1993-12-08,07:10:13,0.0,0.0,0.05857764705882354
1994-01-09,07:09:51,5.0,5.0,0.4760047058823527
1994-01-25,07:09:37,0.0,0.0,0.06264
1994-02-10,07:09:28,0.0,0.02508351334442911,0.6436588235294117
1994-03-30,07:08:45,18.0,58.02013370004448,0.4794811764705879
1994-05-17,07:07:51,1.0,1.0,0.005731764705882352
1994-06-02,07:07:34,49.0,100.0,0.0027
1994-06-18,07:07:13,0.0,0.0,0.0
1994-07-04,07:06:49,0.0,0.0,0.0018
1994-08-21,07:05:32,2.0,2.0,0.0054
1994-09-06,07:05:09,0.0,0.0,0.0018
1994-10-08,07:04:15,58.0,100.0,0.0018
1994-10-24,07:03:44,0.0,0.0,0.021349411764705884
1994-11-09,07:03:10,7.0,7.0,0.10594588235294115
1994-11-25,07:02:37,0.0,0.0,0.0045
1994-12-11,07:02:08,2.0,2.0,0.0
1994-12-27,07:01:37,0.0,0.0,0.008491764705882353
1995-01-12,07:01:03,0.0,0.0,0.05182235294117646
1995-01-28,07:00:27,4.0,4.0,0.0081
1995-02-13,06:59:48,8.0,8.0,0.0
1995-04-02,06:57:51,38.0,7.909077674295996,0.0072
1995-04-18,06:57:11,9.0,9.0,0.0
1995-05-04,06:56:28,76.0,4.938599494001601,0.27373058823529417
1995-06-05,06:55:00,0.0,0.0,0.41343529411764707
1995-07-07,06:53:34,0.0,0.0,0.24677294117647058
1995-07-23,06:52:50,0.0,0.0,0.06598235294117648
1995-08-08,06:52:07,3.0,3.0,0.05839764705882352
1995-08-24,06:51:22,0.0,0.0,0.05005411764705883
1995-09-09,06:50:36,0.0,0.0,0.03088235294117647
1995-09-25,06:49:49,0.0,0.0,0.03088235294117647
1995-10-11,06:48:58,0.0,0.0,0.03055058823529412
1995-10-27,06:48:04,0.0,0.0,0.02539411764705882
1995-11-12,06:47:49,0.0,0.0,0.024864705882352945
1995-11-28,06:48:14,6.0,6.0,0.03139764705882353
1995-12-14,06:49:21,25.0,25.0,0.10597058823529414
