date,time,satellite,water_area_km2
1986-11-30,06:49:46,L5,0.0162
1987-02-02,06:51:42,L5,0.0162
1987-07-12,06:56:32,L5,0.0027
1987-10-16,06:58:54,L5,0.0144
1987-11-01,06:59:11,L5,0.0198
1987-11-17,06:59:32,L5,0.0216
1988-01-04,07:00:17,L5,0.0153
1988-04-09,07:01:31,L5,0.0027
1988-06-28,07:02:04,L5,0.0
1988-10-02,07:02:04,L5,0.0
1988-10-18,07:01:58,L5,0.0009
1988-11-19,07:02:01,L5,0.0018
1989-09-19,06:57:11,L5,0.0
1990-04-15,06:51:39,L5,0.0
1990-05-17,06:51:41,L5,0.0261
1990-06-02,06:51:36,L5,0.0072
1990-07-04,06:51:34,L5,0.027
1990-08-21,06:51:21,L5,0.0324
1990-09-22,06:51:12,L5,0.0333
1990-10-08,06:51:00,L5,0.0396
1991-03-17,06:52:50,L5,0.0423
1991-04-18,06:53:21,L5,0.0351
1991-12-14,06:55:52,L5,0.0009
1991-12-30,06:55:44,L5,0.0
1992-09-27,06:53:16,L5,0.0
1992-10-13,06:52:56,L5,0.0
1993-02-18,06:53:23,L5,0.0
1993-03-06,06:53:32,L5,0.0009
1993-04-07,06:53:40,L5,0.0
1993-05-25,06:53:56,L5,0.0
1993-06-10,06:53:57,L5,0.0
1993-10-16,06:53:36,L5,0.0
1994-01-04,06:52:59,L5,0.0063
1994-02-21,06:52:22,L5,0.009
1994-04-10,06:51:35,L5,0.0
1994-05-28,06:50:43,L5,0.0
1994-09-01,06:48:19,L5,0.0
1994-10-03,06:47:28,L5,0.0
1994-10-19,06:46:57,L5,0.0
1994-11-20,06:45:50,L5,0.0
1995-03-28,06:41:07,L5,0.0009
1995-04-13,06:40:27,L5,0.0
1995-05-31,06:38:18,L5,0.0009
1995-07-02,06:36:51,L5,0.0
1995-09-04,06:33:54,L5,0.0
1995-10-06,06:32:17,L5,0.0009
1995-11-07,06:30:55,L5,0.0009
1996-02-11,06:36:35,L5,0.0063
