date,time,satellite,water_area_km2
1986-09-02,06:58:34,L5,0.0
1987-02-09,06:58:09,L5,0.0018
1987-09-21,07:04:35,L5,0.0072
1988-03-31,07:07:39,L5,0.0
1988-05-02,07:07:50,L5,0.0
1988-09-07,07:08:23,L5,0.0018
1988-10-25,07:08:09,L5,0.0135
1988-11-26,07:08:12,L5,0.018
1989-03-02,07:07:21,L5,0.0126
1989-06-22,07:05:22,L5,0.0
1989-09-26,07:03:20,L5,0.0162
1990-05-24,06:57:46,L5,0.0108
1990-10-15,06:57:11,L5,0.0261
1990-12-02,06:56:47,L5,0.0252
1991-01-19,06:57:58,L5,0.0252
1991-04-09,06:59:24,L5,0.0207
1991-11-03,07:01:45,L5,0.0
1992-10-04,06:59:15,L5,0.0072
1992-10-20,06:59:04,L5,0.0072
1992-11-05,06:58:49,L5,0.0117
1992-11-21,06:58:35,L5,0.0171
1992-12-07,06:58:50,L5,0.0162
1993-03-13,06:59:46,L5,0.0198
1993-03-29,06:59:48,L5,0.0216
1993-11-24,06:59:31,L5,0.0117
1993-12-26,06:59:17,L5,0.0162
1994-01-27,06:58:51,L5,0.0153
1994-04-01,06:57:56,L5,0.0
1994-05-03,06:57:20,L5,0.0
1994-05-19,06:57:03,L5,0.0
1994-08-07,06:55:06,L5,0.0126
1994-10-10,06:53:26,L5,0.0054
1995-04-20,06:46:19,L5,0.0036
1995-06-23,06:43:26,L5,0.0
1995-07-25,06:41:59,L5,0.0009
1995-08-26,06:40:31,L5,0.0018
1995-10-29,06:37:10,L5,0.0018
1995-11-14,06:37:02,L5,0.0
1996-02-02,06:42:09,L5,0.0036
1996-05-24,06:49:12,L5,0.0
1996-07-27,06:52:38,L5,0.0
1996-09-29,06:56:04,L5,0.0
1996-12-18,06:59:57,L5,0.0018
1997-02-20,07:02:52,L5,0.0
1997-03-08,07:03:31,L5,0.0
1997-04-25,07:05:16,L5,0.0
1997-06-28,07:07:30,L5,0.0
1997-08-31,07:09:35,L5,0.0
1997-09-16,07:10:01,L5,0.0
1997-10-02,07:10:30,L5,0.0
1998-04-28,07:14:45,L5,0.0
1998-06-15,07:15:29,L5,0.0
1998-09-19,07:16:24,L5,0.0
1998-10-05,07:16:26,L5,0.0
1998-10-14,07:10:14,L5,0.0
1998-10-21,07:16:26,L5,0.0
1998-11-06,07:16:33,L5,0.0
1998-11-22,07:16:38,L5,0.0
1998-12-08,07:16:33,L5,0.0
1999-01-25,07:16:38,L5,0.0
1999-02-10,07:16:48,L5,0.0
1999-03-14,07:16:38,L5,0.0
1999-03-30,07:16:19,L5,0.0
1999-04-15,07:16:20,L5,0.0
1999-05-01,07:16:17,L5,0.0
1999-06-18,07:15:33,L5,0.0
1999-09-06,07:14:36,L5,0.0
1999-10-24,07:14:04,L5,0.0
1999-12-27,07:12:42,L5,0.0
2000-02-29,07:10:58,L5,0.0
2000-06-04,07:13:43,L5,0.0063
2000-09-24,07:15:55,L5,0.0
2000-10-10,07:16:06,L5,0.0009
2000-11-11,07:16:30,L5,0.0054
2001-03-03,07:17:45,L5,0.0009
2001-04-04,07:17:34,L5,0.0
2001-06-15,07:27:10,L7,0.0009
2001-09-27,07:17:35,L5,0.0009
2001-11-14,07:17:09,L5,0.0018
2002-03-14,07:26:29,L7,0.0
2002-06-10,07:13:59,L5,0.0
2002-09-22,07:25:22,L7,0.0
2013-04-07,07:38:32,L8,0.0027
2013-12-26,07:33:15,L8,0.0018
2014-02-28,07:32:04,L8,0.0
2014-03-16,07:32:19,L8,0.0018
2014-03-23,07:37:58,L8,0.0018
2014-04-08,07:37:43,L8,0.0
2014-04-24,07:37:27,L8,0.0
2014-09-24,07:31:54,L8,0.0027
2014-10-01,07:37:45,L8,0.0027
2014-11-02,07:37:47,L8,0.0018
2015-03-10,07:37:15,L8,0.0
2015-03-19,07:31:00,L8,0.0009
2015-05-29,07:36:40,L8,0.0
2015-06-30,07:36:59,L8,0.0
2015-09-27,07:31:25,L8,0.0
2015-10-13,07:31:26,L8,0.0
2016-03-12,07:37:27,L8,0.0
2016-03-28,07:37:18,L8,0.0
2016-09-04,07:37:48,L8,0.0
2016-09-29,07:32:03,L8,0.0
2016-10-06,07:37:53,L8,0.0
2016-10-15,07:31:45,L8,0.0
2016-10-22,07:37:57,L8,0.0
2016-12-02,07:31:45,L8,0.0
2016-12-25,07:37:50,L8,0.0
2017-02-11,07:37:33,L8,0.0
2017-03-08,07:31:13,L8,0.0
2017-03-24,07:31:02,L8,0.0
2017-04-09,07:31:20,L8,0.0
2017-04-16,07:37:03,L8,0.0
2017-04-25,07:30:46,L8,0.0
2017-05-02,07:36:52,L8,0.0
2017-05-11,07:30:48,L8,0.0
