date,time,satellite,water_area_km2
2016-01-13,07:55:01,L8,0.0
2016-01-29,07:54:37,L8,0.0
2016-02-14,07:54:29,L8,0.0
2016-03-17,07:54:22,L8,0.0
2016-04-02,07:54:12,L8,0.0
2016-05-20,07:54:08,L8,0.0
2016-07-07,07:54:51,L8,0.0
2016-09-25,07:55:11,L8,0.0
2016-11-12,07:55:16,L8,0.0
2017-02-16,07:54:29,L8,0.0
2017-03-04,07:54:46,L8,0.0
2017-05-07,07:54:16,L8,0.0
2017-10-12,08:13:21,Sentinel-2A,0.0
2017-10-14,07:55:14,L8,0.0
2017-10-17,08:13:09,Sentinel-2B,0.0
2017-12-17,07:54:44,L8,0.0009
2018-01-02,07:54:41,L8,0.0
2018-01-18,07:54:34,L8,0.0
2018-02-03,07:54:25,L8,0.0
2018-02-19,07:54:43,L8,0.0
2018-03-01,08:13:19,Sentinel-2A,0.0
2018-03-07,07:54:11,L8,0.0
2018-04-08,07:53:56,L8,0.0
2018-04-24,07:53:46,L8,0.0
2018-06-24,08:13:21,Sentinel-2B,0.0
2018-06-29,08:13:23,Sentinel-2A,0.0
2018-08-14,07:53:58,L8,0.0
2018-10-22,08:13:20,Sentinel-2B,0.0
2018-11-18,07:54:29,L8,0.0
2018-12-16,08:13:14,Sentinel-2A,0.0
2018-12-31,08:13:20,Sentinel-2B,0.0
2019-01-20,08:13:22,Sentinel-2B,0.0
2019-01-25,08:13:19,Sentinel-2A,0.0
2019-02-06,07:54:42,L8,0.0
2019-02-19,08:13:22,Sentinel-2B,0.0
2019-03-06,08:13:17,Sentinel-2A,0.0
2019-03-16,08:13:19,Sentinel-2A,0.0
2019-03-26,07:54:31,L8,0.0
2019-04-15,08:13:25,Sentinel-2A,0.0
2019-04-30,08:13:30,Sentinel-2B,0.0
2019-05-10,08:13:31,Sentinel-2B,0.0
2019-05-15,08:13:26,Sentinel-2A,0.0
2019-05-20,08:13:31,Sentinel-2B,0.0
2019-05-25,08:13:26,Sentinel-2A,0.0
2019-06-04,08:13:25,Sentinel-2A,0.0
2019-06-09,08:13:30,Sentinel-2B,0.0
2019-06-19,08:13:30,Sentinel-2B,0.0
2019-06-24,08:13:27,Sentinel-2A,0.0
2019-06-29,08:13:31,Sentinel-2B,0.0
2019-07-04,08:13:27,Sentinel-2A,0.0
2019-07-14,08:13:28,Sentinel-2A,0.0
2019-07-16,07:54:30,L8,0.0
2019-07-29,08:13:31,Sentinel-2B,0.0
2019-08-03,08:13:27,Sentinel-2A,0.0
2019-08-08,08:13:30,Sentinel-2B,0.0
2019-08-13,08:13:26,Sentinel-2A,0.0
2019-08-17,07:55:05,L8,0.0
2019-09-12,08:13:21,Sentinel-2A,0.0
2019-09-17,08:13:22,Sentinel-2B,0.0
2019-09-22,08:13:23,Sentinel-2A,0.0
2019-10-07,08:13:23,Sentinel-2B,0.0
2019-10-17,08:13:24,Sentinel-2B,0.0
2019-10-20,07:55:20,L8,0.0
2019-10-22,08:13:26,Sentinel-2A,0.0
2019-10-27,08:13:23,Sentinel-2B,0.0
2019-11-01,08:13:26,Sentinel-2A,0.0
2019-11-05,07:54:56,L8,0.0
2019-11-16,08:13:21,Sentinel-2B,0.0
2019-11-21,07:54:52,L8,0.0
2019-12-06,08:13:16,Sentinel-2B,0.0
2019-12-07,07:54:52,L8,0.0
2019-12-11,08:13:19,Sentinel-2A,0.0
2019-12-26,08:13:18,Sentinel-2B,0.0
2020-01-05,08:13:17,Sentinel-2B,0.0
2020-01-08,07:54:45,L8,0.0
2020-01-15,08:13:17,Sentinel-2B,0.0
2020-01-20,08:13:16,Sentinel-2A,0.0
2020-01-24,07:54:41,L8,0.0
2020-01-30,08:13:15,Sentinel-2A,0.0
2020-02-14,08:13:18,Sentinel-2B,0.0
2020-02-29,08:13:18,Sentinel-2A,0.0
2020-03-10,08:13:19,Sentinel-2A,0.0
2020-03-15,08:13:20,Sentinel-2B,0.0
2020-03-25,08:13:20,Sentinel-2B,0.0
2020-03-30,08:13:18,Sentinel-2A,0.0
2020-04-04,08:13:20,Sentinel-2B,0.0
2020-04-13,07:54:09,L8,0.0
2020-04-24,08:13:17,Sentinel-2B,0.0
2020-05-04,08:13:19,Sentinel-2B,0.0
2020-05-29,08:13:29,Sentinel-2A,0.0
2020-06-03,08:13:24,Sentinel-2B,0.0
2020-06-13,08:13:25,Sentinel-2B,0.0
2020-06-18,08:13:28,Sentinel-2A,0.0
2020-06-23,08:13:25,Sentinel-2B,0.0
2020-06-28,08:13:28,Sentinel-2A,0.0
2020-07-02,07:54:20,L8,0.0
2020-07-08,08:13:27,Sentinel-2A,0.0
2020-07-13,08:13:24,Sentinel-2B,0.0
2020-07-23,08:13:24,Sentinel-2B,0.0
2020-07-28,08:13:28,Sentinel-2A,0.0
2020-08-02,08:13:25,Sentinel-2B,0.0
2020-08-07,08:13:28,Sentinel-2A,0.0
2020-08-17,08:13:28,Sentinel-2A,0.0
2020-08-19,07:54:36,L8,0.0
2020-08-22,08:13:26,Sentinel-2B,0.0
2020-09-06,08:13:27,Sentinel-2A,0.0
2020-09-11,08:13:25,Sentinel-2B,0.0
2020-09-16,08:13:27,Sentinel-2A,0.0
2020-09-20,07:55:13,L8,0.0
2020-09-26,08:13:28,Sentinel-2A,0.0
2020-10-01,08:13:26,Sentinel-2B,0.0
2020-10-06,07:54:52,L8,0.0
2020-10-11,08:13:26,Sentinel-2B,0.0
2020-10-16,08:13:28,Sentinel-2A,0.0
2020-10-21,08:13:26,Sentinel-2B,0.0
2020-10-22,07:54:53,L8,0.0
2020-10-26,08:13:28,Sentinel-2A,0.0
2020-11-05,08:13:27,Sentinel-2A,0.0
2020-11-10,08:13:24,Sentinel-2B,0.0
2020-11-23,07:55:16,L8,0.0
2020-11-25,08:13:24,Sentinel-2A,0.0
2020-12-09,07:55:18,L8,0.0
2021-01-04,08:13:23,Sentinel-2A,0.0009
2021-01-09,08:13:22,Sentinel-2B,0.0018
2021-01-10,07:54:46,L8,0.0009
