date,time,satellite,water_area_km2
2016-04-06,07:31:27,L8,0.0
2016-12-02,07:32:09,L8,0.0
2017-04-06,07:45:12,Sentinel-2A,0.0
2017-04-25,07:31:10,L8,0.0
2017-06-10,07:45:14,Sentinel-2B,0.0
2017-11-07,07:45:01,Sentinel-2B,0.0
2017-12-27,07:45:03,Sentinel-2B,0.0
2018-02-10,07:45:11,Sentinel-2A,0.0
2018-11-02,07:45:12,Sentinel-2B,0.0
2018-12-27,07:45:11,Sentinel-2A,0.0
2019-01-31,07:45:18,Sentinel-2B,0.0
2019-03-12,07:45:15,Sentinel-2B,0.0
2019-04-16,07:45:20,Sentinel-2A,0.0
2019-05-01,07:31:14,L8,0.0
2019-05-06,07:45:22,Sentinel-2A,0.0
2019-05-11,07:45:26,Sentinel-2B,0.0
2019-05-26,07:45:21,Sentinel-2A,0.0
2019-06-25,07:45:22,Sentinel-2A,0.0
2019-08-04,07:45:22,Sentinel-2A,0.0
2019-08-19,07:45:24,Sentinel-2B,0.0
2019-09-22,07:32:08,L8,0.0
2019-11-02,07:45:21,Sentinel-2A,0.0
2019-11-07,07:45:18,Sentinel-2B,0.0
2019-11-09,07:32:11,L8,0.0
2019-11-12,07:45:20,Sentinel-2A,0.0
2019-11-22,07:45:19,Sentinel-2A,0.0
2019-12-07,07:45:12,Sentinel-2B,0.0
2019-12-22,07:45:12,Sentinel-2A,0.0
2020-01-28,07:31:56,L8,0.0
2020-01-31,07:45:10,Sentinel-2A,0.0
2020-02-15,07:45:14,Sentinel-2B,0.0
2020-05-10,07:45:22,Sentinel-2A,0.0
2020-05-15,07:45:17,Sentinel-2B,0.0
2020-06-09,07:45:24,Sentinel-2A,0.0
2020-07-09,07:45:22,Sentinel-2A,0.0
2020-07-19,07:45:23,Sentinel-2A,0.0
2020-07-24,07:45:20,Sentinel-2B,0.0
2020-08-18,07:45:24,Sentinel-2A,0.0
2020-08-28,07:45:23,Sentinel-2A,0.0
2020-09-02,07:45:21,Sentinel-2B,0.0
2020-09-12,07:45:20,Sentinel-2B,0.0
2020-09-17,07:45:22,Sentinel-2A,0.0
2020-09-22,07:45:20,Sentinel-2B,0.0
2020-09-27,07:45:23,Sentinel-2A,0.0
2020-10-10,07:32:09,L8,0.0
2020-10-12,07:45:22,Sentinel-2B,0.0
2020-10-17,07:45:24,Sentinel-2A,0.0
2020-10-22,07:45:21,Sentinel-2B,0.0
2020-11-01,07:45:21,Sentinel-2B,0.0
2020-11-21,07:45:18,Sentinel-2B,0.0
2021-01-10,07:45:17,Sentinel-2B,0.0
2021-02-04,07:45:18,Sentinel-2A,0.0
2021-02-09,07:45:17,Sentinel-2B,0.0
2021-03-06,07:45:18,Sentinel-2A,0.0
2021-03-16,07:45:17,Sentinel-2A,0.0
2021-03-26,07:45:16,Sentinel-2A,0.0
2021-03-31,07:45:16,Sentinel-2B,0.0
2021-04-10,07:45:15,Sentinel-2B,0.0
2021-04-25,07:45:14,Sentinel-2A,0.0
2021-05-10,07:45:16,Sentinel-2B,0.0
2021-05-20,07:45:18,Sentinel-2B,0.0
2021-05-25,07:45:19,Sentinel-2A,0.0
2021-06-09,07:45:19,Sentinel-2B,0.0
2021-06-29,07:45:19,Sentinel-2B,0.0
2021-08-03,07:45:21,Sentinel-2A,0.0
2021-08-08,07:45:19,Sentinel-2B,0.0
2021-09-02,07:45:19,Sentinel-2A,0.0
2021-10-02,07:45:22,Sentinel-2A,0.0
2021-10-07,07:45:18,Sentinel-2B,0.0
2021-10-12,07:45:23,Sentinel-2A,0.0
2021-10-17,07:45:19,Sentinel-2B,0.0
2021-10-27,07:45:19,Sentinel-2B,0.0
2021-11-01,07:45:22,Sentinel-2A,0.0
2021-11-11,07:45:20,Sentinel-2A,0.0
2021-11-16,07:45:16,Sentinel-2B,0.0
2021-11-21,07:45:18,Sentinel-2A,0.0
2021-11-26,07:45:13,Sentinel-2B,0.0
2021-12-06,07:45:13,Sentinel-2B,0.0
2021-12-11,07:45:17,Sentinel-2A,0.0
2022-02-04,07:45:12,Sentinel-2B,0.0
2022-02-09,07:45:17,Sentinel-2A,0.0
2022-02-24,07:45:13,Sentinel-2B,0.0
2022-03-21,07:45:21,Sentinel-2A,0.0
2022-03-31,07:45:20,Sentinel-2A,0.0
2022-04-05,07:45:15,Sentinel-2B,0.0
2022-04-25,07:45:12,Sentinel-2B,0.0
2022-04-30,07:45:23,Sentinel-2A,0.0
2022-05-10,07:45:22,Sentinel-2A,0.0
2022-05-15,07:45:17,Sentinel-2B,0.0
2022-05-20,07:45:24,Sentinel-2A,0.0
2022-05-30,07:45:26,Sentinel-2A,0.0
2022-06-14,07:45:21,Sentinel-2B,0.0
2022-09-02,07:45:19,Sentinel-2B,0.0
2022-09-07,07:45:29,Sentinel-2A,0.0
2022-09-27,07:45:25,Sentinel-2A,0.0
2022-10-17,07:45:21,Sentinel-2A,0.0
2022-10-22,07:45:17,Sentinel-2B,0.0
2022-11-11,07:45:17,Sentinel-2B,0.0
2022-11-16,07:45:20,Sentinel-2A,0.0
2022-11-17,07:32:20,L8,0.0
2022-11-21,07:45:18,Sentinel-2B,0.0
2022-11-25,07:32:16,L9,0.0
2022-12-01,07:45:16,Sentinel-2B,0.0
2022-12-06,07:45:18,Sentinel-2A,0.0
2022-12-31,07:45:17,Sentinel-2B,0.0
2023-01-12,07:32:14,L9,0.0
2023-01-15,07:45:13,Sentinel-2A,0.0
2023-02-13,07:32:18,L9,0.0
2023-02-21,07:31:58,L8,0.0
2023-03-06,07:45:14,Sentinel-2A,0.0
2023-07-14,07:45:23,Sentinel-2A,0.0
2023-07-19,07:45:24,Sentinel-2B,0.0
2023-08-13,07:45:23,Sentinel-2A,0.0
2023-08-23,07:45:24,Sentinel-2A,0.0
2023-08-28,07:45:22,Sentinel-2B,0.0
2023-09-27,07:45:21,Sentinel-2B,0.0
2023-10-02,07:45:20,Sentinel-2A,0.0
2023-10-07,07:45:18,Sentinel-2B,0.0
2023-10-12,07:45:16,Sentinel-2A,0.0
2023-12-01,07:45:09,Sentinel-2A,0.0
2023-12-21,07:45:14,Sentinel-2A,0.0
2023-12-22,07:32:02,L8,0.0
2024-01-07,07:31:54,L8,0.0
2024-01-10,07:45:13,Sentinel-2A,0.0
2024-01-23,07:31:52,L8,0.0
2024-02-24,07:31:51,L8,0.0
2024-03-15,07:45:16,Sentinel-2B,0.0
2024-03-30,07:45:17,Sentinel-2A,0.0
2024-04-09,07:45:18,Sentinel-2A,0.0
2024-04-24,07:45:17,Sentinel-2B,0.0
2024-04-29,07:45:21,Sentinel-2A,0.0
2024-06-08,07:45:24,Sentinel-2A,0.0
2024-07-23,07:45:21,Sentinel-2B,0.0
2024-09-16,07:45:18,Sentinel-2A,0.0
2024-10-16,07:45:17,Sentinel-2A,0.0
2024-11-15,07:45:17,Sentinel-2A,0.0
2024-12-20,07:45:19,Sentinel-2B,0.0
2025-02-10,07:31:51,L8,0.0
2025-02-28,07:45:21,Sentinel-2B,0.0
2025-03-20,07:45:21,Sentinel-2B,0.0
2025-04-06,07:45:30,Sentinel-2A,0.0
2025-04-09,07:45:20,Sentinel-2B,0.0
2025-04-29,07:45:20,Sentinel-2B,0.0
2025-05-16,07:45:33,Sentinel-2A,0.0
2025-05-29,07:45:19,Sentinel-2B,0.0
2025-06-25,07:45:33,Sentinel-2A,0.0
2025-06-28,07:45:20,Sentinel-2B,0.0
2025-07-15,07:45:37,Sentinel-2A,0.0
2025-07-18,07:45:21,Sentinel-2B,0.0
2025-07-25,07:45:37,Sentinel-2A,0.0
2025-09-03,07:45:32,Sentinel-2A,0.0
2025-10-03,07:45:34,Sentinel-2A,0.0
2025-10-06,07:45:17,Sentinel-2B,0.0
2025-10-13,07:45:32,Sentinel-2A,0.0
2025-10-23,07:45:34,Sentinel-2A,0.0
2025-10-26,07:45:17,Sentinel-2B,0.0
2025-11-02,07:45:34,Sentinel-2A,0.0
2025-11-05,07:45:14,Sentinel-2B,0.0
2025-11-12,07:45:32,Sentinel-2A,0.0
2025-11-15,07:45:14,Sentinel-2B,0.0
2025-11-22,07:45:35,Sentinel-2A,0.0
