water_level_m,elevation_m,area_m2_design,volume_m3_design,area_m2_integrated_dem,volume_m3_integrated_dem,capacity_loss_%
46.5,316.5,6165000.0,118450000.0,3901380.99,60942107.93,-48.55
47.0,317.0,6250000.0,121900000.0,3949767.73,62904895.11,-48.4
47.5,317.5,6325000.0,124700000.0,4004242.86,64893397.76,-47.96
48.0,318.0,6400000.0,127500000.0,4066301.79,66911033.93,-47.52
48.5,318.5,6490000.0,130750000.0,4159443.59,68967470.27,-47.25
49.0,319.0,6580000.0,134000000.0,4518872.67,71137049.34,-46.91
49.5,319.5,6665000.0,137750000.0,5140423.28,73551873.32,-46.6
50.0,320.0,6750000.0,141500000.0,5547705.02,76223905.4,-46.13
50.5,320.5,6835000.0,144725000.0,5820507.95,79065958.64,-45.37
51.0,321.0,6920000.0,147950000.0,6036592.66,82030233.8,-44.56
51.5,321.5,7015000.0,151425000.0,6223517.14,85095261.25,-43.8
52.0,322.0,7110000.0,154900000.0,6373590.8,88244538.23,-43.03
52.5,322.5,7195000.0,158450000.0,6518964.64,91467677.09,-42.27
53.0,323.0,7280000.0,162000000.0,6679826.51,94767374.87,-41.5
53.5,323.5,7380000.0,165500000.0,6819005.13,98142082.78,-40.7
54.0,324.0,7480000.0,169000000.0,6935432.38,101580692.16,-39.89
54.5,324.5,7575000.0,173000000.0,7042246.37,105075111.85,-39.26
55.0,325.0,7670000.0,177000000.0,7153439.74,108624033.38,-38.63
55.5,325.5,7770000.0,181000000.0,7263458.15,112228257.85,-38.0
56.0,326.0,7870000.0,185000000.0,7386080.61,115890642.54,-37.36
56.5,326.5,7975000.0,189322000.0,7514150.58,119615700.34,-36.82
57.0,327.0,8080000.0,193644000.0,7624596.25,123400387.05,-36.27
