dam_id,dam_name,construction_year,dam_height_m,spillway_height_m,capacity_mcm,curve_type,srtm_water_level_m,coverage_fraction,z_min,z_max,footprint_area_km2,c,b,r_squared,n_pixels,void_fraction,capped,placement_upstream_shift_m,placement_method,valley_width_m,valley_ratio,channel_slope,mean_catchment_slope,lat,lon,srtm_max_vol_mcm,vol_ratio,z_range,z_range_ratio,quality,uncertainty_flags,uncertainty_score,sed_yield_t_ha_yr,upstream_area_km2,owe_mm_year
id_010000,Al-Hariqah,1970,6.0,4.0,0.08,full,,1.0,665.8177490234375,674.8177490234375,0.0303763209763218,0.002640732440707,1.6757951149658514,0.9868186106647716,35,0.0,True,0.0,stage_1_fast_path,147.30027877076188,36.82506969269047,0.0026715455066723,0.101788081228733,24.757882,46.527667,0.0937326475840788,1.171658094800985,9.0,2.25,B,height_noise,1,3.467380732,1327.181422,
id_010001,Tamir,2011,5.5,4.0,0.061523,full,,1.0,666.0751953125,670.0751953125,0.0852937924682781,0.1580788676143082,1.1673693211683664,0.9950263032666872,99,0.0,True,0.0,stage_1_fast_path,293.5223090798273,73.38057726995683,0.0053966772420896,0.0579404346644878,25.710225,45.827694,0.0887400063053802,1.442387502322388,4.0,1.0,A,height_noise,1,0.419758551,10.39585528,
id_010002,Shi'b Al-Qasr Al-Asfal,2008,6.5,5.0,0.09117,full,,1.0,700.641357421875,703.3739013671875,0.0129790030344312,0.0212187510074039,1.4090096471295646,0.9236889370844362,15,0.0,False,0.0,stage_1_fast_path,147.07709449146785,29.41541889829357,0.0193049196200513,0.0915092676877975,25.153833,46.267694,0.0155748036413175,0.170832550634173,2.7325439453125,0.5465087890625,D,sub_pixel,1,3.028792013,476.0297376,
id_010003,Al-Manih,1980,6.0,4.0,0.1,full,,1.0,714.176025390625,715.1840209960938,0.0095205248927182,0.0004472551050922,1.803625590870315,0.6506256015399423,11,0.0,False,0.0,stage_2_upstream_walk,205.93593879103483,51.48398469775871,0.0111330225255349,0.0466628409922122,25.067531,45.450892,0.009087773761231,0.0908777376123103,1.00799560546875,0.2519989013671875,D,sub_pixel;height_noise,2,2.335154861,6.795315792,2494.2
id_010004,Qabiban,2012,5.0,3.0,0.128442,full,,1.0,774.963134765625,779.6119384765625,0.0735148997449489,2.152179440693657e-05,1.988642233878117,0.9653898518203328,84,0.0,False,0.0,stage_3_quality_recovery,207.0837789830167,69.02792632767223,0.0026749423037375,0.1053938642144203,23.483889,45.536389,0.1148670308514828,0.8943105125385996,4.6488037109375,1.5496012369791667,B,height_noise,1,4.601179458,11.00313286,2560.9
id_010005,Al-Ashr,2013,6.5,5.0,0.101387,full,,1.0,736.28857421875,738.180419921875,0.0146944749009745,0.3026572705800113,1.074975889346903,0.992939039175642,17,0.0,False,0.0,stage_2_upstream_walk,558.6067457761106,111.72134915522211,0.0023024711114799,0.0481190718710422,25.240986,45.211788,0.009075999203543,0.0895183722128387,1.891845703125,0.378369140625,D,sub_pixel,1,2.144710158,4.683855356,2496.7
id_010006,Al-Dahinah,2009,11.0,9.0,0.11664,full,,1.0,747.3673095703125,758.3673095703125,0.0241379253598997,0.0002881862146543,1.955898037169884,0.977315049923426,28,0.0,True,0.0,stage_2_upstream_walk,88.08302257349061,9.787002508165624,0.0370382861351343,0.088054671883583,25.608753,45.290367,0.1178879033202245,1.01069875960412,11.0,1.2222222222222223,B,sub_pixel;narrow_valley,2,2.784133981,16.25706446,2479.6
id_010008,Al-Ghadir,2010,6.0,4.0,0.119,full,,1.0,725.680419921875,733.180419921875,0.083852182263301,0.3374193648474362,1.141096818430268,0.994588746487343,97,0.0,True,0.0,stage_2_upstream_walk,88.20487166395479,22.051217915988698,0.0107356431752595,0.0551801733672618,25.22936,45.226406,0.1452285218580883,1.220407746706625,7.5,1.875,A,narrow_valley;height_noise,2,2.306460919,10.72425836,2496.7
id_010010,Al-Khalif,2012,7.0,5.0,0.147368,full,,1.0,729.4557495117188,733.9733276367188,0.0311071100752436,0.0001192921181086,1.9376475788876035,0.974196507378284,36,0.0,False,0.0,stage_1_fast_path,117.581385668242,23.5162771336484,0.0077079051438114,0.0494627729058265,25.28749,45.174242,0.0680468032895955,0.4617474844579256,4.517578125,0.903515625,B,-,0,2.411548819,21.90740876,2492.7
id_010011,Al-Mahdiyah,2003,12.0,10.0,0.15,full,,1.0,751.749755859375,758.749755859375,0.0564471733516142,0.0013328888158453,1.6982793860726697,0.9965319629184576,65,0.0,True,0.0,stage_3_quality_recovery,117.87573467432868,11.787573467432868,0.015289183102695,0.1572138667106628,24.662778,46.427778,0.1589205034360831,1.059470022907221,7.0,0.7,A,-,0,2.913758025,31.73482847,2522.2
id_010012,Al-Fawarah,2012,5.0,3.0,0.164,full,,1.0,825.2222900390625,832.2222900390625,0.0972728143315216,0.8613061454557728,1.0700210723358377,0.9897139174290516,111,0.0,True,0.0,stage_1_fast_path,384.8376939034082,128.27923130113606,0.0055480602291112,0.197493314743042,23.280191,45.236743,0.1818388195837003,1.1087732901445142,7.0,2.333333333333333,B,height_noise,1,3.051257907,14.79661195,2546.6
