dam_id,dam_name,owe_mm_year
id_030019,Al-Murabah,2547.8
id_030020,Rim,2545.0
id_030021,Wasat Al-Jazl,2431.6
id_030022,Al-Aqul,2554.5
id_030023,Am Talhah,2488.4
id_030024,Al-Hanaw,2565.4
id_030025,Ashar,2458.9
id_030026,Khalis,2458.9
id_030027,Al-Sadr,2458.9
id_030028,Ajathaliyah,2493.1
id_030029,Dhalamah,2519.3
id_030030,Bathan,2564.5
id_030031,Al-Muqarran,2541.1
id_030032,Qasibah,2541.1
id_030033,Ahamir,2493.1
id_030034,Al-Tar'ah,2541.1
id_030035,Al-Far'ah,2572.6
id_030036,Hadhawadha,2554.4
id_030037,Qusayba' Al-Tad'imi,2517.2
id_030038,Al-Hasid,2527.1
id_030039,Al-Aqul Al-Hajari,2564.5
id_040001,Al-Rubiqah,2505.6
id_040002,Al-Matla' Al-Aysar,2498.1
id_040003,Aba Al-Hadar,2507.7
id_040004,Aba Al-Rimah,2516.2
id_040005,Al-Matla' Al-Ayman,2498.1
id_040006,Qatan,2510.5
id_040007,Al-Madhnib,2491.1
id_040008,Wadi Al-Nakhil,2516.2
id_040009,Abu Jurayfah,2475.1
id_040010,Al-Rubiq,2505.6
id_040011,Nasifat Aban Al-Ahmar,2521.7
id_040013,Uqlat Al-Suqur,2506.1
id_040014,Al-Fawarah,2486.7
id_040015,Al-Rummah,2481.0
id_040016,Marid,2444.3
id_040017,Bada'ih Al-Hamamin,2540.2
id_050000,Al-Dhibiyah,2393.7
id_050001,Hafar Al-Batin,2404.2
id_060000,Al-Marah,2246.1
id_060001,Al-Hilali,2324.9
id_060002,Al-Lawiziyah,2309.0
id_060003,Uwayj Al-Tal'ah,2356.9
id_060004,Turif,2238.5
id_060005,Al-Awashaqi,2303.6
id_060006,Gharabah,2303.6
id_060007,Aba Al-Qur,2325.8
id_060008,Badanah,2303.6
id_060009,Ar'ar,2315.7
id_060010,Fihan,2363.9
id_070000,Ayash,2396.4
id_070001,Ara'ir,2343.7
