dam_id,dam_name,sed_yield_t_ha_yr,area_km2
id_010000,Al-Hariqah,3.467380732,1327.181422
id_010001,Tamir,0.419758551,10.39585528
id_010002,Shi'b Al-Qasr Al-Asfal,3.028792013,476.0297376
id_010003,Al-Manih,2.335154861,6.795315792
id_010004,Qabiban,4.601179458,11.00313286
id_010005,Al-Ashr,2.144710158,4.683855356
id_010006,Al-Dahinah,2.784133981,16.25706446
id_010007,Al-Anbari,2.168375024,20.40838204
id_010008,Al-Ghadir,2.306460919,10.72425836
id_010009,Abu Rukhab,10.69268285,4.674803153
id_010010,Al-Khalif,2.411548819,21.90740876
id_010011,Al-Mahdiyah,2.913758025,31.73482847
id_010012,Al-Fawarah,3.051257907,14.79661195
id_010013,Al-Khur'iyah,2.979626913,187.4388117
id_010014,Al-Hafirah,9.602743891,16.49082014
id_010015,Malham,2.201177196,467.9401323
id_010016,Mazwiyah,0.450288621,9.141303135
id_010017,Halifah Al-Musa'id,2.143427489,7.838716372
id_010018,Mahiraqah,3.337219556,13.94693746
id_010019,Marqan,1.252936097,1676.183285
id_010020,Al-Shahmah,1.100554154,15.28567973
id_010021,Al-Ruwaydah,1.288309204,121.8077617
id_010022,Athitiyah,1.849155265,16.52031192
id_010023,Al-Qaltah,1.353869179,1739.598358
id_010024,Marat,2.20142624,17.7253458
id_010025,Sudus,2.067704889,52.74882731
id_010026,Al-Raziwah,1.347430167,53.0483428
id_010027,Al-Bair,3.49127656,16.26597998
id_010028,Haradah,2.361835753,51.39777109
id_010029,Al-Jazar,1.29608736,51.93675256
id_010030,Bawdah,0.879860324,73.428643
id_010031,Tamrah,1.117528193,118.6157154
id_010032,Anan,2.38406397,76.57159574
id_010033,Al-Artawiyah,0.727170923,211.91319
id_010034,Al-Khaniqiyah,2.262358498,307.1334788
id_010035,Khanqat 'Arwah,0.994404797,1082.813829
id_010036,Al-Hadar,1.112761717,230.4961666
id_010037,Al-Jufir,3.330206861,80.58577071
id_010038,Al-Fahihal,11.42784578,5.739226831
id_010039,Al-Rayn Bin 'Asaylan,2.44549332,589.4235077
id_010040,Warat,4.593956443,25.90477215
id_010041,Salabawakh,1.716825658,300.4313463
id_010042,Al-'Afaj,2.429223572,1363.101012
id_010043,Al-'Ayinah,1.294322443,33.15303957
id_010044,Al-Ghat,1.359856609,45.23776964
id_010045,Hawatah Sadir,2.163994787,224.8555908
id_010046,Al-Wasi'ah,2.983612715,4.062248356
id_010047,Al-Manhanah,1.5528765,44.84416932
id_010048,Al-Sha'arah,11.15474826,4.165548988
id_010049,Al-Maliyah,1.6809718,349.1943032
id_010050,Al-Ha'ir Bin Al-Majma'ah,1.597063933,48.56945954
id_010051,Al-Hariq Bin Al-Washam,4.043351337,24.63013428
id_010052,Namar,1.494141636,189.9458707
id_010053,Hanifah,1.64257356,1668.885705
id_010054,Al-Shamam,14.75571742,7.48137759
id_010055,Al-Nasaq,15.89239692,4.041534456
id_010056,Dharmah,12.40492138,4.923738495
id_010057,Al-Qawi'ah,1.552249387,248.593398
id_010058,Hadijah,10.39097838,15.89046304
id_010059,Al-Muzayri'ah,3.299374024,135.8937983
id_010060,Lasad,4.749514655,58.98334035
id_010061,Jalajil,2.408384978,79.38545211
id_010062,Al-Khanqah,1.282569289,1687.08652
id_010063,Laban,2.283089585,201.3329788
id_010064,Thadiq,18.80395005,4.019643202
id_010065,Al-Ahmar,1.706909503,300.5854055
id_010066,Harimilah,3.064405457,149.7677854
id_010067,Al-Matirafi'ah,2.398013704,142.2910102
id_010068,Al-Rawdah,2.532336437,146.9631317
id_010069,Al-Hanabij,2.655281178,59.77164158
id_010070,Hawtat Bani Tamim,4.285464393,1736.611174
id_010071,Al-Ha'ir,1.149761445,2962.116143
id_010072,Al-Hariq,4.726971003,615.4349212
id_010073,Al-Halwah,5.288808587,224.0977882
id_010074,Ghubaira,3.528213411,1370.913011
id_010075,Al-Jafnah,3.046439785,15.96755616
id_010076,Isam,1.132961897,4.425355229
id_010077,Al-Ma'idhar,1.591552234,13.66946526
id_010078,Al-Rimah,2.030138797,14.26810469
id_010079,Al-Buq,0.230698043,4.761374446
id_010080,Al-Tamriyah,2.044844061,17.08179711
id_010081,Hajilah,5.483205531,22.23968603
id_010082,Safar,2.911677702,59.51925615
id_010083,Ashirah,1.060855371,488.0906217
id_010084,Al-Halifah,1.907629394,17.36189895
id_010085,Al-Sadarih,7.245674386,10.91063281
id_010086,Al-Sadirah Am Nakhlah,5.46540319,13.37176396
id_010087,Al-Haysiyah,3.01223954,129.1976835
id_010088,Sh'ib Al-Isar,0.871035162,120.2241111
id_010089,Al-Thumaylah,5.532713231,11.18823474
id_010090,Al-Barah,2.065483758,79.17073319
id_010091,Al-Majma'ah,1.401897418,361.2981246
id_010092,Al-Safrat,3.398027037,74.14316739
id_010093,Samnan,4.487500311,55.47979833
id_010094,Al-Ghil,2.878244838,436.5609916
id_010095,Al-Alab,1.714094796,1326.526895
id_010096,Al-Mushaqar,1.502955,259.654785
id_010097,Ari'ah Al-Janubi,0.203723769,4.528318784
id_010098,Abaraqih,0.747753327,892.6826648
id_010099,Jawi,12.4990975,25.22655181
id_010100,Al-Ananiyah,3.207342355,148.2369313
id_010101,Raghbah,2.181442044,50.95726037
id_010102,Al-Kalbi,0.805703062,169.3549304
id_010103,Khaim,1.02240027,74.54356032
id_010104,Ba'ij,0.266341581,5.51298621
id_010105,Ari'ah Al-Shamali,0.188531436,4.465095402
id_010106,Ruwaighib,1.863393277,5.320263132
id_010107,Malih,0.533855017,16.29813866
id_010108,Aba Al-Lasf,1.051770053,34.18418357
id_010109,Al-Shu'bah,4.558917202,26.23228246
id_010110,Wadi Asimar,0.90285265,131.8062394
id_010111,Al-Nabah,0.310687355,7.791157399
id_010112,Al-Khadar,0.159713895,123.6827462
id_010113,Turif,0.702493865,6.965892372
id_010114,Samanan Al-Tad'imi,0.797368484,45.65029317
id_010115,Ari'ah Al-Sharqi 1,0.397396833,5.442113548
id_010116,Ari'ah Al-Sharqi 2,0.397396833,5.442113548
id_020000,Marikh,6.470386354,35.39477876
id_020001,Ghaya,6.477824607,45.21934477
id_020002,Am Hablayn,6.298385009,38.42386675
id_020003,Daghbaj,9.798900896,43.9948894
id_020004,Burayman,5.089235947,51.16239018
id_020005,Ghulail Al-Shamali,1.646440598,25.09002133
id_020006,Mathawab 1,0.48461086,5.502248438
id_020007,Mathawab 2,0.442869807,33.73806391
id_020008,Qawas 1,1.277040271,22.67352756
id_020009,Qawas 2,1.272731634,22.64964517
id_020010,Qawas 3,2.028551148,62.5094046
id_020011,Ghalil Al-Janubi,0.715239362,36.03155175
id_020012,Am Al-Khir,3.016009576,105.3258017
id_020013,Al-Samir,4.507695825,282.8254183
id_020014,Al-Ahtirazi,3.220688336,249.8115125
id_020015,Turabah,3.024193349,4692.550298
id_020016,Turabah Al-Jawfi,3.453652994,3472.091672
id_020017,Al-Marwani,3.652075304,2774.664904
id_020018,Rabigh,3.98579191,3719.25756
id_020019,Hali,9.660225664,4897.33871
id_020020,Al-Naqabiyah,1.644789127,8135.756471
id_020021,Al-Lith,4.870778709,1888.593333
id_020022,Al-Lith Al-Jawfi,3.531926826,2556.03246
id_020023,Qanuna,7.61731661,1393.696797
id_020024,Al-Manadhah,13.10076071,4.116717789
id_020025,Katnah,10.6281808,23.37010464
id_020026,Atam,0.174986462,4.29004701
id_020027,Damah,0.250867677,15.64798116
id_020028,Ghurif Jidarah,0.087824667,5.311795012
id_020029,Dhari,0.804435672,27.59028883
id_020030,Al-Raghiyah Riman,0.479292138,61.13569323
id_020031,Al-Shawahitah,7.745243374,9.682678193
id_020032,Nawafilah,9.63176116,4.290610206
id_020033,Al-Atah,3.672893756,7.120548157
id_020034,Al-Marifiq,10.03381411,16.34838217
id_020035,Al-Ramah,2.095465261,30.48814343
id_020036,Al-Shu'irah,9.219152817,4.098645801
id_020037,Yasib,5.917270237,22.20793948
id_020038,Al-Bajidi,3.714302256,116.8292366
id_020039,Qurad,2.647001371,55.29707092
id_020040,Sa'b,3.853018263,232.5643582
id_020041,Misan,0.087354212,4.04355854
id_020042,Ikrimah,3.829213822,222.1927402
id_020043,Dharah,4.877032542,86.5480665
id_020044,Al-Ayab,1.68675298,61.53827926
id_020045,Al-Sab'an,2.200992825,163.7744433
id_020046,Thumalah,3.92992574,26.91093679
id_020047,Shawan,0.855467219,346.4440336
id_020048,Hajar,3.460681975,206.210978
id_020049,Bathan,4.228347907,71.24029711
id_020050,Malkan,3.020343143,120.9727352
id_020051,Nu'man,3.451701754,73.81243921
id_020052,Al-Qu'ur,1.535588208,92.58558951
id_020053,Awathal,6.430565977,9.244803598
id_020054,Basal,4.859378669,130.4295103
id_020055,Lasab,6.555001723,16.33720822
id_020056,Kara Al-Qawamah,1.905138771,954.678449
id_020057,Faydat Al-Musallah,0.472129521,4155.499976
id_020058,Wadi Fatimah,3.14267761,3104.375427
id_020059,Am Al-Doum,0.698615421,29.93434567
id_020060,Thariban,3.203012117,80.2116308
id_020061,Wabah,2.774494374,531.6654511
id_020062,Shawqab,3.90959392,52.5295914
id_020063,Qarn,4.421777795,190.292141
id_020064,Al-Janah,7.171022297,104.0058574
id_020065,Al-Mahanad,0.605747366,2293.88343
id_020066,Hawajiz Al-Dab'ah,0.457977631,61.44915338
id_020067,Amat,3.14340911,21.17412577
id_020068,Al-Makhadah,2.330177007,63.24125673
id_020069,Al-Dhiyah,5.05000498,65.94770311
id_020070,Al-Laqitah,3.211874072,44.57723369
id_020071,Kalakh,3.721886508,570.3078501
id_020072,Liyah,3.089761006,182.4589301
id_020073,Sisad,4.469023205,6.341668969
id_020074,Aqawam Rabigh,1.574573476,5069.638028
id_020075,Al-Ghalah,10.96835188,397.894439
id_020076,Al-Shaqqah,2.733403497,1487.041694
id_020077,Buwah,5.010862498,443.7821155
id_030000,Al-Nahitah,4.848491022,391.9951259
id_030001,Abu Hanak,3.702334597,281.93893
id_030002,Al-Wajab,0.174314995,289.1637276
id_030003,Abu Ghasha,0.685922517,1598.182983
id_030004,Al-Jarisiyah,1.80236833,16.66826693
id_030005,Shalal,3.033530338,71.8851136
id_030006,Qaran,1.18051735,209.2652451
id_030007,Al-Salahaniyah,0.836101502,298.2271449
id_030008,Amirah,3.328818091,210.0139433
id_030009,Nakhala,0.927332354,723.0758973
id_030010,Al-Shara'ih,1.274655447,113.6438394
id_030011,Al-Farah,1.193864893,698.8181438
id_030012,Al-Ghab,0.712890423,43773.65447
id_030013,Al-Is,4.284122153,871.2913819
id_030014,Talal,0.422780367,1558.738163
id_030015,Tasha,3.841926333,369.1734768
id_030016,Al-Aqiq Al-A'lah,1.73349059,2299.426881
id_030017,Bidan,0.731463896,940.7199404
id_030018,Malal,3.614507323,734.3266174
id_030019,Al-Murabah,3.457941518,2311.922093
id_030020,Rim,4.824131938,772.6140684
id_030021,Wasat Al-Jazl,1.27565326,5710.999032
id_030022,Al-Aqul,0.489827097,36261.05302
id_030023,Am Talhah,0.796347489,267.7776374
id_030024,Al-Hanaw,9.242501851,4.572856982
id_030025,Ashar,3.141679779,29.71094044
id_030026,Khalis,1.085096563,2473.968902
id_030027,Al-Sadr,1.762723953,70.03730622
id_030028,Ajathaliyah,0.818795359,256.7321651
id_030029,Dhalamah,8.550133319,105.3124806
id_030030,Bathan,1.274706618,113.6360422
id_030031,Al-Muqarran,0.469246479,2263.350614
id_030032,Qasibah,0.893363645,603.6598851
id_030033,Ahamir,0.750705095,1057.827684
id_030034,Al-Tar'ah,4.047250352,1328.681171
id_030035,Al-Far'ah,3.90967125,4399.440287
id_030036,Hadhawadha,0.472644169,35545.96952
id_030037,Qusayba' Al-Tad'imi,0.323538253,578.544809
