elevation_m,area_m2,volume_m3
2107.17138671875,903.9649377792736,0.0
2107.67138671875,903.9649377792736,451.9824688896368
2108.17138671875,5423.789626675642,2033.9211100033656
2108.67138671875,9943.61431557201,5875.7720955652785
2109.17138671875,14463.439004468377,11977.535425575375
2109.67138671875,19887.22863114402,20565.202334478476
2110.17138671875,28926.878008936754,32768.72899449867
2110.67138671875,35254.63257339167,48814.106640080776
2111.17138671875,39774.45726228804,67571.37909900071
2111.67138671875,43390.31701340513,88362.572667924
2112.17138671875,49718.07157786004,111639.6698157403
2112.67138671875,54237.89626675641,137628.6617768944
