elevation_m,area_m2,volume_m3
1044.3367919921875,861.6674179142093,0.0
1044.8367919921875,1723.3348358284186,646.250563435657
1045.3367919921875,5170.004507485256,2369.5853992640755
1045.8367919921875,6031.671925399465,5170.004507485255
1046.3367919921875,10340.009014970512,9262.92474257775
1046.8367919921875,18956.683194112604,16587.09779484853
1047.3367919921875,31020.027044911534,29081.275354604564
1047.8367919921875,47391.70798528151,48684.20911215282
1048.3367919921875,69795.06085105095,77980.90132123593
1048.8367919921875,84443.40695559251,116540.51827289679
1049.3367919921875,119771.7710900751,167594.3127843137
1049.8367919921875,154238.46780664346,236096.8725084933
1050.3367919921875,220586.85898603758,329803.20420666353
1050.8367919921875,284350.24791168905,456037.4809310952
1051.3367919921875,375686.99421059527,621046.7914616663
1051.8367919921875,454098.7292407883,828493.2223245122
1052.3367919921875,566115.4935696356,1083546.7780271182
1052.8367919921875,678993.9253163969,1394824.1327486262
